p H,DO,BOD,COD,SS,TN, T P,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,Rain
7.4 ,7.9 ,3.4 ,5.0 ,8.8 ,1.191 ,0.065 ,4.0 ,24.3 ,228 ,4000 ,0.017 ,0.027 ,5.7 ,340 ,5.646 ,15.7 
7.1 ,8.3 ,1.3 ,4.8 ,3.7 ,1.294 ,0.109 ,3.9 ,22.2 ,250 ,1540 ,0.069 ,0.044 ,1.8 ,230 ,5.783 ,43.5 
7.4 ,8.4 ,0.7 ,5.1 ,3.9 ,1.323 ,0.077 ,4.2 ,20.8 ,297 ,1850 ,0.054 ,0.033 ,1.6 ,225 ,3.470 ,2.7 
7.0 ,9.7 ,1.2 ,4.8 ,4.3 ,1.040 ,0.079 ,4.2 ,22.3 ,301 ,3600 ,0.037 ,0.025 ,9.1 ,810 ,6.174 ,0.0 
7.3 ,7.3 ,1.8 ,5.8 ,4.8 ,1.445 ,0.078 ,5.0 ,21.8 ,310 ,2650 ,0.087 ,0.033 ,6.9 ,320 ,2.999 ,18.9 
6.7 ,9.0 ,1.3 ,4.9 ,3.8 ,1.697 ,0.091 ,4.8 ,19.9 ,285 ,14000 ,0.092 ,0.043 ,1.9 ,640 ,5.669 ,57.9 
7.4 ,9.5 ,0.8 ,4.1 ,3.1 ,1.876 ,0.066 ,4.7 ,17.6 ,244 ,6000 ,0.218 ,0.033 ,5.1 ,640 ,3.205 ,7.7 
7.0 ,8.1 ,1.6 ,5.8 ,5.1 ,1.514 ,0.063 ,6.1 ,18.2 ,337 ,1700 ,0.080 ,0.031 ,6.8 ,110 ,2.126 ,1.2 
7.3 ,9.3 ,3.0 ,7.8 ,10.8 ,1.296 ,0.138 ,7.5 ,17.1 ,326 ,14000 ,0.114 ,0.076 ,7.9 ,4400 ,7.018 ,1.1 
6.7 ,10.1 ,1.6 ,4.9 ,2.7 ,1.635 ,0.062 ,5.6 ,11.3 ,254 ,600 ,0.090 ,0.026 ,15.2 ,95 ,2.979 ,24.5 
7.2 ,9.2 ,2.6 ,6.7 ,5.5 ,2.834 ,0.141 ,6.0 ,15.4 ,334 ,22000 ,0.603 ,0.065 ,12.3 ,4200 ,4.801 ,31.8 
6.8 ,9.6 ,2.9 ,7.9 ,8.1 ,2.333 ,0.148 ,5.5 ,14.2 ,254 ,11000 ,0.249 ,0.087 ,8.8 ,860 ,11.633 ,45.1 
7.2 ,9.9 ,2.0 ,5.4 ,4.3 ,2.421 ,0.099 ,3.1 ,13.2 ,332 ,7200 ,0.274 ,0.076 ,4.2 ,260 ,4.279 ,17.9 
6.9 ,12.7 ,1.5 ,4.7 ,3.2 ,2.509 ,0.060 ,2.1 ,8.9 ,299 ,5200 ,0.181 ,0.035 ,2.8 ,140 ,7.530 ,27.1 
7.1 ,13.0 ,1.2 ,4.1 ,1.0 ,2.764 ,0.068 ,1.8 ,6.0 ,301 ,4800 ,0.184 ,0.028 ,2.6 ,210 ,6.823 ,12.0 
7.2 ,9.7 ,1.9 ,5.0 ,2.4 ,2.750 ,0.093 ,3.1 ,10.4 ,285 ,15000 ,0.282 ,0.046 ,5.1 ,600 ,7.619 ,26.5 
7.1 ,14.4 ,1.7 ,4.1 ,2.0 ,2.843 ,0.062 ,1.9 ,6.4 ,305 ,4200 ,0.191 ,0.024 ,2.5 ,200 ,6.098 ,11.6 
6.6 ,11.9 ,1.1 ,3.0 ,2.8 ,2.858 ,0.049 ,1.2 ,4.8 ,316 ,5200 ,0.075 ,0.013 ,2.6 ,110 ,5.541 ,6.6 
7.5 ,11.2 ,1.6 ,3.6 ,3.4 ,3.239 ,0.062 ,3.4 ,6.7 ,289 ,3400 ,0.278 ,0.023 ,3.8 ,10 ,3.536 ,2.5 
7.3 ,12.1 ,1.1 ,3.3 ,2.5 ,2.846 ,0.054 ,3.4 ,3.6 ,293 ,1300 ,0.127 ,0.011 ,3.9 ,90 ,3.138 ,0.3 
7.4 ,13.1 ,1.6 ,3.7 ,3.9 ,2.656 ,0.049 ,4.5 ,4.9 ,310 ,3500 ,0.137 ,0.014 ,9.3 ,150 ,3.858 ,8.7 
7.9 ,12.9 ,1.8 ,3.4 ,6.4 ,3.358 ,0.071 ,3.8 ,3.5 ,377 ,1800 ,0.400 ,0.025 ,3.2 ,230 ,3.382 ,19.3 
6.7 ,15.4 ,1.6 ,4.6 ,6.7 ,3.259 ,0.092 ,4.5 ,1.7 ,290 ,18000 ,0.370 ,0.044 ,4.5 ,120 ,5.861 ,21.4 
7.0 ,12.8 ,1.8 ,3.6 ,4.9 ,2.916 ,0.049 ,4.0 ,4.9 ,314 ,600 ,0.187 ,0.016 ,6.3 ,420 ,3.865 ,0.0 
7.5 ,12.4 ,3.1 ,6.2 ,14.2 ,3.041 ,0.112 ,5.5 ,6.4 ,280 ,7600 ,0.365 ,0.045 ,9.4 ,1200 ,11.957 ,33.7 
7.2 ,13.3 ,1.8 ,3.7 ,8.4 ,1.760 ,0.038 ,3.0 ,5.8 ,198 ,6100 ,0.069 ,0.018 ,6.4 ,130 ,8.273 ,4.7 
7.4 ,13.3 ,2.1 ,3.6 ,5.3 ,2.685 ,0.054 ,3.6 ,4.7 ,305 ,3000 ,0.242 ,0.026 ,5.4 ,30 ,3.857 ,6.8 
7.1 ,10.4 ,4.8 ,8.6 ,43.8 ,2.813 ,0.191 ,6.7 ,11.5 ,181 ,24000 ,0.332 ,0.058 ,14.3 ,1500 ,15.634 ,40.3 
6.5 ,12.1 ,1.6 ,4.1 ,8.0 ,2.706 ,0.078 ,3.8 ,7.0 ,270 ,5100 ,0.184 ,0.015 ,4.7 ,90 ,5.196 ,5.2 
7.0 ,10.9 ,1.8 ,4.4 ,6.9 ,2.449 ,0.070 ,4.1 ,11.6 ,344 ,1800 ,0.111 ,0.018 ,12.0 ,20 ,3.571 ,9.7 
8.0 ,13.1 ,3.2 ,7.5 ,11.3 ,1.877 ,0.088 ,5.7 ,10.3 ,336 ,800 ,0.037 ,0.003 ,38.0 ,2 ,2.515 ,0.0 
8.1 ,12.1 ,4.7 ,7.8 ,14.6 ,1.527 ,0.066 ,5.4 ,15.6 ,477 ,400 ,0.070 ,0.002 ,81.3 ,10 ,2.576 ,2.6 
7.7 ,9.3 ,2.4 ,7.0 ,10.1 ,2.078 ,0.100 ,5.3 ,16.7 ,175 ,1400 ,0.067 ,0.017 ,19.0 ,100 ,4.904 ,44.9 
6.6 ,9.6 ,3.6 ,7.2 ,32.5 ,2.278 ,0.195 ,6.0 ,14.6 ,182 ,10000 ,0.322 ,0.054 ,17.8 ,2500 ,18.619 ,46.3 
6.8 ,9.3 ,1.4 ,4.3 ,10.4 ,1.745 ,0.070 ,3.5 ,17.0 ,184 ,2100 ,0.100 ,0.014 ,8.2 ,370 ,10.573 ,27.3 
7.1 ,14.6 ,1.3 ,4.5 ,9.9 ,1.658 ,0.058 ,3.5 ,18.6 ,228 ,4800 ,0.063 ,0.024 ,4.3 ,460 ,8.255 ,63.9 
6.7 ,10.3 ,1.3 ,4.4 ,7.7 ,1.692 ,0.054 ,3.6 ,18.6 ,247 ,2100 ,0.061 ,0.025 ,8.0 ,60 ,5.402 ,36.8 
7.4 ,9.9 ,2.6 ,6.1 ,15.7 ,1.947 ,0.102 ,5.3 ,19.4 ,277 ,9400 ,0.120 ,0.043 ,21.5 ,860 ,13.159 ,36.8 
7.2 ,10.1 ,2.5 ,7.2 ,12.0 ,1.796 ,0.155 ,5.8 ,22.6 ,303 ,1600 ,0.238 ,0.064 ,18.7 ,120 ,3.931 ,5.3 
6.9 ,6.7 ,3.2 ,8.3 ,15.3 ,2.503 ,0.132 ,6.4 ,22.5 ,255 ,1300 ,0.323 ,0.079 ,8.6 ,320 ,7.231 ,29.2 
6.9 ,8.2 ,2.9 ,8.2 ,18.1 ,2.479 ,0.136 ,7.4 ,21.3 ,231 ,11000 ,0.282 ,0.072 ,7.2 ,560 ,10.646 ,18.1 
6.8 ,7.1 ,2.8 ,7.0 ,9.9 ,2.444 ,0.111 ,6.6 ,24.0 ,215 ,7000 ,0.328 ,0.047 ,7.5 ,300 ,7.598 ,3.7 
6.8 ,6.2 ,2.2 ,8.2 ,10.8 ,2.175 ,0.097 ,6.9 ,25.1 ,261 ,1000 ,0.163 ,0.052 ,10.1 ,100 ,5.833 ,2.7 
7.1 ,6.5 ,2.1 ,8.3 ,8.7 ,2.284 ,0.118 ,7.5 ,24.4 ,252 ,3200 ,0.151 ,0.063 ,4.9 ,200 ,4.338 ,91.6 
6.3 ,7.9 ,2.6 ,5.8 ,20.0 ,2.167 ,0.111 ,4.9 ,23.3 ,154 ,23000 ,0.164 ,0.063 ,4.1 ,2900 ,7.744 ,186.9 
7.2 ,6.5 ,2.1 ,5.1 ,9.9 ,2.243 ,0.167 ,4.3 ,26.7 ,176 ,4200 ,0.081 ,0.061 ,5.1 ,510 ,11.149 ,75.6 
7.4 ,7.6 ,2.2 ,4.7 ,8.5 ,1.619 ,0.075 ,4.3 ,25.0 ,204 ,13000 ,0.048 ,0.060 ,5.9 ,1000 ,9.893 ,37.3 
7.3 ,9.6 ,2.6 ,7.0 ,8.9 ,1.379 ,0.121 ,8.2 ,29.5 ,281 ,5000 ,0.062 ,0.049 ,67.8 ,760 ,5.217 ,0.0 
7.2 ,7.9 ,4.3 ,8.1 ,10.2 ,1.244 ,0.157 ,6.4 ,30.3 ,293 ,280 ,0.038 ,0.027 ,55.9 ,75 ,3.922 ,1.5 
7.1 ,7.5 ,3.4 ,8.2 ,10.9 ,1.463 ,0.120 ,6.5 ,28.3 ,234 ,680 ,0.039 ,0.044 ,14.4 ,140 ,3.169 ,13.3 
6.8 ,7.6 ,1.9 ,6.5 ,6.7 ,0.934 ,0.093 ,5.3 ,28.8 ,271 ,2300 ,0.078 ,0.043 ,12.4 ,385 ,13.172 ,18.9 
7.3 ,4.9 ,1.5 ,6.7 ,4.7 ,0.892 ,0.071 ,5.3 ,29.0 ,459 ,1500 ,0.064 ,0.029 ,9.8 ,160 ,1.873 ,5.9 
6.7 ,8.6 ,1.1 ,6.1 ,8.4 ,1.227 ,0.102 ,4.8 ,22.4 ,172 ,5500 ,0.138 ,0.034 ,4.4 ,450 ,9.148 ,42.2 
7.4 ,6.0 ,2.5 ,6.5 ,13.9 ,1.480 ,0.102 ,5.8 ,25.0 ,192 ,13500 ,0.321 ,0.033 ,14.2 ,5400 ,30.813 ,7.4 
7.3 ,8.3 ,1.6 ,6.9 ,8.1 ,1.393 ,0.107 ,5.1 ,23.0 ,216 ,9500 ,0.119 ,0.060 ,4.9 ,60 ,11.783 ,34.6 
7.2 ,10.5 ,1.4 ,9.2 ,8.3 ,2.127 ,0.108 ,4.4 ,20.9 ,187 ,13000 ,0.128 ,0.057 ,1.1 ,2000 ,14.702 ,144.0 
7.4 ,8.0 ,1.5 ,3.0 ,4.3 ,1.899 ,0.076 ,3.9 ,22.5 ,222 ,7500 ,0.080 ,0.043 ,11.3 ,380 ,7.799 ,11.6 
6.8 ,8.0 ,1.5 ,6.2 ,9.4 ,2.633 ,0.117 ,4.7 ,22.1 ,216 ,18000 ,0.094 ,0.087 ,5.3 ,700 ,12.199 ,75.6 
7.5 ,7.3 ,1.0 ,5.1 ,7.7 ,1.922 ,0.086 ,3.8 ,16.9 ,185 ,18000 ,0.062 ,0.051 ,2.3 ,1500 ,15.922 ,113.5 
7.2 ,10.3 ,1.3 ,5.7 ,13.1 ,1.836 ,0.107 ,4.0 ,18.0 ,151 ,24000 ,0.087 ,0.055 ,4.0 ,2900 ,20.793 ,61.5 
7.5 ,9.0 ,1.0 ,3.8 ,4.0 ,2.063 ,0.076 ,3.0 ,17.6 ,207 ,20000 ,0.061 ,0.035 ,3.5 ,700 ,7.222 ,2.5 
7.3 ,10.1 ,1.1 ,4.0 ,3.7 ,2.154 ,0.067 ,3.4 ,12.3 ,206 ,9000 ,0.105 ,0.045 ,3.6 ,300 ,4.556 ,17.9 
7.4 ,10.8 ,1.0 ,3.9 ,3.0 ,2.194 ,0.082 ,3.1 ,13.4 ,296 ,7300 ,0.031 ,0.052 ,4.3 ,150 ,4.253 ,0.0 
7.8 ,10.0 ,1.1 ,4.2 ,3.9 ,2.193 ,0.165 ,4.2 ,12.9 ,344 ,26000 ,0.037 ,0.051 ,6.5 ,60 ,3.313 ,10.7 
7.8 ,9.4 ,1.7 ,5.2 ,4.0 ,2.128 ,0.086 ,4.8 ,13.2 ,418 ,10200 ,0.100 ,0.064 ,13.4 ,40 ,3.237 ,11.0 
7.7 ,12.6 ,2.0 ,4.7 ,4.9 ,2.378 ,0.069 ,4.1 ,7.0 ,350 ,2400 ,0.027 ,0.028 ,20.3 ,150 ,2.998 ,4.8 
7.6 ,11.3 ,1.3 ,3.6 ,2.9 ,2.469 ,0.048 ,3.2 ,7.4 ,389 ,5100 ,0.060 ,0.022 ,9.0 ,100 ,3.017 ,5.7 
7.8 ,12.4 ,1.3 ,3.7 ,3.1 ,2.685 ,0.048 ,3.2 ,4.3 ,358 ,3400 ,0.148 ,0.015 ,7.1 ,320 ,3.151 ,1.4 
8.2 ,12.3 ,1.1 ,3.3 ,2.8 ,2.503 ,0.048 ,3.0 ,5.6 ,339 ,6000 ,0.035 ,0.015 ,9.8 ,320 ,3.087 ,1.7 
7.5 ,13.1 ,1.6 ,4.9 ,4.3 ,2.633 ,0.081 ,4.4 ,7.1 ,337 ,49000 ,0.066 ,0.026 ,8.4 ,100 ,4.499 ,29.3 
7.2 ,9.3 ,1.7 ,4.3 ,4.0 ,2.961 ,0.090 ,3.7 ,4.7 ,298 ,3000 ,0.295 ,0.044 ,6.8 ,110 ,3.885 ,11.8 
7.1 ,13.2 ,1.5 ,4.7 ,5.9 ,3.035 ,0.088 ,3.3 ,7.4 ,319 ,6700 ,0.361 ,0.042 ,14.2 ,370 ,3.233 ,1.2 
8.1 ,10.3 ,1.0 ,4.5 ,3.5 ,2.605 ,0.056 ,2.3 ,1.0 ,322 ,1200 ,0.085 ,0.012 ,3.8 ,110 ,2.840 ,0.5 
7.0 ,13.4 ,1.6 ,3.6 ,3.2 ,2.989 ,0.081 ,3.8 ,2.1 ,368 ,300 ,0.153 ,0.017 ,4.2 ,130 ,2.961 ,4.4 
8.2 ,13.0 ,1.3 ,3.8 ,3.8 ,3.590 ,0.102 ,3.3 ,3.3 ,299 ,1100 ,0.390 ,0.065 ,4.2 ,60 ,4.274 ,5.6 
7.5 ,12.2 ,1.4 ,4.3 ,3.8 ,2.801 ,0.088 ,3.3 ,4.1 ,332 ,600 ,0.126 ,0.038 ,6.3 ,30 ,3.339 ,1.4 
8.2 ,14.0 ,1.5 ,3.9 ,4.9 ,2.789 ,0.067 ,3.3 ,2.4 ,295 ,1300 ,0.136 ,0.047 ,4.9 ,290 ,3.017 ,5.2 
8.0 ,10.8 ,2.5 ,5.6 ,10.3 ,2.823 ,0.092 ,3.7 ,7.9 ,356 ,1300 ,0.311 ,0.028 ,19.2 ,410 ,2.883 ,7.1 
7.3 ,12.4 ,2.1 ,5.1 ,5.2 ,2.641 ,0.081 ,3.8 ,6.1 ,253 ,1900 ,0.148 ,0.029 ,7.9 ,210 ,4.176 ,28.2 
7.2 ,12.3 ,2.0 ,4.9 ,7.2 ,2.314 ,0.068 ,3.8 ,8.4 ,326 ,500 ,0.140 ,0.022 ,14.7 ,40 ,3.847 ,6.0 
7.3 ,11.5 ,3.9 ,5.5 ,11.0 ,2.341 ,0.082 ,5.2 ,9.2 ,337 ,100 ,0.018 ,0.004 ,24.5 ,120 ,2.597 ,1.8 
8.1 ,13.8 ,5.0 ,8.0 ,20.4 ,2.469 ,0.124 ,8.4 ,10.7 ,459 ,1400 ,0.028 ,0.005 ,66.4 ,510 ,1.980 ,0.0 
8.1 ,16.8 ,4.9 ,7.9 ,15.0 ,1.897 ,0.091 ,5.7 ,11.9 ,343 ,2600 ,0.063 ,0.025 ,64.2 ,20 ,2.814 ,19.2 
8.8 ,13.7 ,6.5 ,12.0 ,20.6 ,1.894 ,0.128 ,8.9 ,12.9 ,508 ,600 ,0.024 ,0.005 ,105.9 ,20 ,0.787 ,6.2 
8.1 ,11.0 ,4.1 ,8.5 ,17.1 ,1.446 ,0.081 ,5.9 ,16.5 ,216 ,31000 ,0.009 ,0.008 ,72.1 ,380 ,7.172 ,29.0 
8.2 ,10.5 ,5.2 ,10.9 ,16.4 ,1.255 ,0.111 ,7.5 ,18.0 ,287 ,150 ,0.025 ,0.010 ,118.2 ,40 ,1.808 ,11.2 
9.0 ,10.5 ,7.8 ,12.7 ,18.2 ,1.094 ,0.116 ,9.0 ,16.3 ,305 ,1000 ,0.039 ,0.001 ,146.2 ,160 ,1.062 ,11.5 
7.8 ,8.7 ,6.4 ,12.0 ,20.4 ,1.110 ,0.139 ,7.3 ,19.5 ,373 ,400 ,0.040 ,0.003 ,106.2 ,40 ,1.973 ,19.4 
8.0 ,13.1 ,7.6 ,13.9 ,24.3 ,1.672 ,0.137 ,9.6 ,20.3 ,441 ,280 ,0.071 ,0.012 ,89.6 ,85 ,1.174 ,13.9 
8.0 ,11.4 ,3.9 ,14.3 ,21.0 ,1.784 ,0.134 ,9.8 ,22.1 ,357 ,60 ,0.119 ,0.018 ,34.7 ,15 ,1.930 ,0.0 
7.4 ,10.2 ,5.1 ,13.3 ,19.2 ,1.937 ,0.141 ,9.8 ,20.4 ,284 ,1700 ,0.267 ,0.006 ,54.9 ,85 ,3.294 ,2.2 
7.0 ,9.2 ,4.4 ,12.1 ,12.5 ,2.535 ,0.142 ,9.1 ,22.2 ,334 ,750 ,0.288 ,0.027 ,25.3 ,340 ,5.162 ,2.9 
6.8 ,7.6 ,3.0 ,10.7 ,12.5 ,2.169 ,0.118 ,8.1 ,23.2 ,313 ,1500 ,0.406 ,0.033 ,21.3 ,240 ,3.288 ,6.0 
7.1 ,6.2 ,5.0 ,13.5 ,15.0 ,1.821 ,0.103 ,10.4 ,24.0 ,339 ,780 ,0.262 ,0.006 ,44.4 ,390 ,2.977 ,0.8 
6.6 ,6.2 ,3.1 ,14.3 ,11.6 ,2.044 ,0.120 ,10.5 ,25.3 ,343 ,1600 ,0.188 ,0.039 ,37.1 ,170 ,2.465 ,8.9 
7.4 ,6.9 ,2.8 ,10.7 ,14.0 ,1.893 ,0.120 ,7.7 ,25.7 ,224 ,4200 ,0.255 ,0.043 ,16.0 ,1500 ,13.650 ,39.5 
7.6 ,7.2 ,2.7 ,9.2 ,15.0 ,2.172 ,0.163 ,7.0 ,26.7 ,191 ,11000 ,0.224 ,0.078 ,7.3 ,1300 ,11.708 ,71.7 
7.0 ,6.5 ,1.5 ,6.7 ,7.8 ,2.281 ,0.121 ,4.8 ,26.4 ,194 ,12000 ,0.102 ,0.048 ,6.7 ,2300 ,12.706 ,60.1 
7.3 ,5.8 ,2.3 ,6.8 ,4.3 ,1.537 ,0.066 ,5.3 ,28.8 ,292 ,1000 ,0.068 ,0.018 ,26.3 ,410 ,3.609 ,23.3 
7.5 ,7.0 ,3.2 ,7.4 ,9.1 ,0.857 ,0.086 ,5.5 ,31.5 ,241 ,300 ,0.067 ,0.023 ,50.3 ,70 ,1.804 ,51.8 
7.3 ,7.1 ,2.2 ,7.6 ,36.0 ,1.263 ,0.135 ,5.7 ,24.1 ,130 ,26000 ,0.117 ,0.085 ,9.8 ,1000 ,29.849 ,30.9 
7.0 ,7.7 ,3.2 ,8.0 ,37.0 ,1.605 ,0.160 ,5.9 ,26.3 ,181 ,32000 ,0.114 ,0.096 ,18.0 ,6800 ,86.871 ,54.1 
7.4 ,8.0 ,1.2 ,5.2 ,3.9 ,1.890 ,0.066 ,3.9 ,24.2 ,181 ,4100 ,0.067 ,0.053 ,3.6 ,1000 ,8.136 ,180.4 
7.0 ,9.1 ,2.5 ,5.3 ,4.1 ,1.275 ,0.087 ,4.4 ,23.2 ,261 ,2200 ,0.014 ,0.022 ,20.5 ,690 ,6.257 ,6.7 
7.6 ,7.6 ,1.8 ,7.4 ,18.0 ,1.686 ,0.134 ,5.2 ,22.1 ,122 ,11000 ,0.080 ,0.080 ,4.7 ,4600 ,33.968 ,101.9 
7.2 ,8.5 ,1.1 ,5.1 ,2.1 ,1.525 ,0.048 ,4.1 ,21.6 ,252 ,5300 ,0.025 ,0.036 ,5.8 ,290 ,3.963 ,0.0 
7.1 ,8.2 ,1.5 ,5.2 ,2.5 ,1.161 ,0.051 ,4.2 ,22.6 ,247 ,2700 ,0.033 ,0.025 ,11.6 ,170 ,4.169 ,0.0 
8.2 ,11.7 ,1.2 ,5.0 ,2.9 ,2.010 ,0.081 ,3.7 ,21.8 ,295 ,4300 ,0.181 ,0.046 ,3.9 ,710 ,4.248 ,79.7 
7.6 ,10.8 ,1.1 ,4.9 ,3.2 ,1.956 ,0.073 ,3.9 ,16.9 ,310 ,3300 ,0.057 ,0.041 ,7.1 ,240 ,3.445 ,12.6 
7.5 ,10.5 ,1.2 ,5.3 ,2.5 ,1.769 ,0.064 ,4.0 ,16.1 ,381 ,2000 ,0.120 ,0.027 ,10.5 ,120 ,3.111 ,0.0 
7.7 ,13.4 ,2.8 ,6.7 ,6.0 ,1.515 ,0.064 ,5.3 ,14.1 ,399 ,400 ,0.009 ,0.006 ,50.1 ,30 ,2.755 ,0.0 
7.7 ,10.7 ,3.8 ,6.8 ,8.7 ,1.889 ,0.076 ,5.6 ,11.1 ,516 ,2100 ,0.387 ,0.005 ,75.6 ,40 ,2.117 ,1.2 
7.8 ,11.4 ,3.7 ,7.3 ,9.6 ,1.487 ,0.063 ,6.2 ,10.6 ,515 ,420 ,0.016 ,0.004 ,72.7 ,55 ,2.022 ,0.4 
8.1 ,12.1 ,4.7 ,8.2 ,11.5 ,1.973 ,0.067 ,6.5 ,7.4 ,553 ,560 ,0.342 ,0.006 ,88.5 ,75 ,1.943 ,0.0 
8.0 ,13.4 ,4.1 ,7.0 ,9.6 ,2.320 ,0.072 ,5.5 ,6.1 ,389 ,500 ,0.021 ,0.007 ,73.0 ,120 ,2.804 ,0.5 
7.0 ,13.1 ,3.6 ,6.5 ,7.6 ,2.360 ,0.059 ,5.7 ,5.9 ,414 ,1100 ,0.225 ,0.003 ,51.5 ,260 ,2.256 ,0.0 
7.4 ,11.6 ,2.9 ,5.7 ,6.6 ,2.878 ,0.072 ,4.8 ,4.3 ,382 ,1500 ,0.387 ,0.007 ,43.1 ,470 ,2.446 ,3.1 
7.5 ,12.6 ,3.0 ,5.3 ,7.3 ,2.975 ,0.068 ,4.3 ,2.2 ,341 ,2400 ,0.312 ,0.004 ,44.4 ,1100 ,2.277 ,1.4 
7.6 ,13.3 ,3.6 ,6.0 ,8.6 ,2.667 ,0.068 ,5.1 ,4.4 ,314 ,3300 ,0.153 ,0.005 ,57.2 ,400 ,3.511 ,23.3 
8.0 ,14.1 ,3.1 ,5.9 ,7.4 ,2.810 ,0.066 ,4.6 ,2.8 ,339 ,1100 ,0.038 ,0.007 ,33.9 ,350 ,2.657 ,0.4 
8.4 ,13.1 ,3.6 ,6.2 ,9.5 ,2.288 ,0.068 ,4.7 ,4.4 ,352 ,7000 ,0.536 ,0.011 ,64.8 ,1500 ,2.432 ,2.7 
8.4 ,12.5 ,3.2 ,5.3 ,7.1 ,2.640 ,0.061 ,4.4 ,3.3 ,356 ,24000 ,0.124 ,0.007 ,37.3 ,340 ,3.004 ,13.3 
7.1 ,13.6 ,2.5 ,5.7 ,4.7 ,2.564 ,0.086 ,4.6 ,4.7 ,293 ,1500 ,0.142 ,0.020 ,17.8 ,440 ,3.448 ,21.7 
8.0 ,7.4 ,2.0 ,4.8 ,5.0 ,2.831 ,0.079 ,4.0 ,1.4 ,299 ,1400 ,0.388 ,0.015 ,16.9 ,240 ,2.588 ,1.1 
8.0 ,11.1 ,2.3 ,4.5 ,6.5 ,2.771 ,0.079 ,3.6 ,1.3 ,430 ,410 ,0.050 ,0.009 ,27.5 ,270 ,2.583 ,0.8 
7.9 ,10.7 ,2.4 ,4.3 ,4.6 ,2.926 ,0.089 ,3.5 ,2.5 ,464 ,1100 ,0.157 ,0.008 ,20.4 ,200 ,2.640 ,4.5 
8.4 ,8.4 ,3.4 ,5.7 ,6.5 ,2.704 ,0.112 ,4.6 ,5.7 ,451 ,1900 ,0.085 ,0.014 ,51.2 ,910 ,2.207 ,0.0 
8.5 ,7.8 ,4.7 ,8.5 ,13.2 ,2.236 ,0.098 ,6.2 ,6.5 ,413 ,860 ,0.006 ,0.016 ,88.1 ,65 ,1.808 ,0.0 
7.5 ,10.4 ,4.9 ,8.2 ,15.3 ,2.239 ,0.134 ,6.5 ,11.9 ,332 ,4600 ,0.192 ,0.010 ,72.4 ,840 ,3.088 ,24.9 
6.6 ,11.5 ,3.6 ,7.5 ,7.5 ,2.803 ,0.096 ,5.5 ,8.9 ,307 ,3200 ,0.221 ,0.012 ,34.6 ,160 ,2.950 ,29.4 
7.5 ,8.8 ,4.1 ,9.1 ,34.4 ,3.408 ,0.160 ,6.3 ,11.7 ,229 ,24000 ,0.346 ,0.071 ,21.3 ,3400 ,32.093 ,54.9 
7.0 ,12.1 ,1.4 ,4.9 ,5.1 ,1.908 ,0.043 ,3.8 ,11.6 ,176 ,14000 ,0.048 ,0.019 ,8.5 ,380 ,7.426 ,22.2 
7.5 ,9.4 ,3.3 ,7.4 ,15.0 ,1.569 ,0.066 ,5.7 ,16.2 ,352 ,3100 ,0.018 ,0.005 ,48.9 ,20 ,2.415 ,1.1 
7.6 ,10.6 ,1.9 ,7.4 ,7.6 ,2.807 ,0.100 ,5.2 ,11.8 ,237 ,1400 ,0.092 ,0.043 ,10.4 ,160 ,6.695 ,44.8 
7.6 ,11.1 ,2.0 ,5.4 ,5.8 ,2.292 ,0.075 ,4.3 ,13.0 ,304 ,2000 ,0.086 ,0.038 ,26.4 ,170 ,4.792 ,22.6 
7.6 ,8.3 ,3.2 ,7.1 ,12.8 ,1.502 ,0.107 ,5.3 ,18.1 ,270 ,15000 ,0.043 ,0.009 ,79.5 ,1000 ,8.327 ,6.6 
7.8 ,9.7 ,2.0 ,5.8 ,4.6 ,2.987 ,0.120 ,4.3 ,19.0 ,198 ,1700 ,0.082 ,0.020 ,13.5 ,550 ,8.653 ,53.4 
7.6 ,9.1 ,2.3 ,6.5 ,7.8 ,2.457 ,0.129 ,5.2 ,17.7 ,243 ,15000 ,0.270 ,0.035 ,17.8 ,700 ,10.063 ,35.8 
7.4 ,8.6 ,2.2 ,6.0 ,8.1 ,2.064 ,0.106 ,5.2 ,20.6 ,227 ,5800 ,0.186 ,0.050 ,12.2 ,440 ,9.413 ,30.1 
7.7 ,10.8 ,2.4 ,7.6 ,16.0 ,1.798 ,0.125 ,6.0 ,19.5 ,273 ,3900 ,0.100 ,0.043 ,21.5 ,390 ,6.016 ,0.5 
6.9 ,8.1 ,3.7 ,8.5 ,14.5 ,2.611 ,0.162 ,7.0 ,22.8 ,270 ,1400 ,0.452 ,0.104 ,12.0 ,200 ,6.023 ,19.0 
6.8 ,7.1 ,2.8 ,9.2 ,7.5 ,2.203 ,0.126 ,7.6 ,24.9 ,263 ,3200 ,0.224 ,0.074 ,5.5 ,460 ,6.184 ,0.0 
6.7 ,6.4 ,1.9 ,9.8 ,10.3 ,1.997 ,0.121 ,8.2 ,23.8 ,248 ,4300 ,0.152 ,0.064 ,5.5 ,200 ,7.051 ,0.2 
7.3 ,7.3 ,3.7 ,11.7 ,8.0 ,1.749 ,0.098 ,9.2 ,24.7 ,260 ,1400 ,0.049 ,0.027 ,27.3 ,230 ,4.774 ,7.1 
7.6 ,6.6 ,3.0 ,12.4 ,9.0 ,1.483 ,0.116 ,9.1 ,25.4 ,249 ,1700 ,0.054 ,0.033 ,17.1 ,220 ,4.018 ,14.4 
