pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,NH3_N,PO4_P,Chl_a,log TC,log FC
8.2,11.6,14.6,362,4.9,8.3,14.5,4.537,0.062,7.5,0.597,0.023,58.3,2.5024,1.7634
7.7,10.4,7.9,426,3.6,7.4,5.1,5.832,0.088,6.3,1.843,0.049,20.6,3.2082,2.683
7.4,14.3,4.5,383,4,5.7,15.9,5.134,0.099,4.3,1.457,0.017,51.4,1.7243,1.6021
7.3,13.9,4.4,356,4.6,6.6,14.3,5.714,0.096,4.8,1.809,0.007,73.4,2.3747,0.301
7.7,13.2,9.1,377,5.6,8.3,20.5,6.029,0.103,5.8,2.214,0.006,87.5,1.6232,0.9031
7.5,8.9,15.1,319,5.5,7.5,16.6,4.748,0.11,5.6,1.872,0.03,42.1,2.8451,1.7404
7.2,8.1,20.4,233,3.6,6.5,21.2,3.242,0.109,5,0.854,0.03,24.9,2.2718,1.3802
7,6.7,24.1,278,5.5,8.2,25.6,3.725,0.103,6.7,1.261,0.016,44.6,1.6812,1.2041
7.4,6.9,25.8,201,3.9,7.5,21.9,2.928,0.139,5.4,0.497,0.044,31.4,2.8062,1.0792
7.3,5.3,27.7,285,4.2,8.2,21.6,3.431,0.19,5.8,0.729,0.068,28.5,3.0253,2.8325
7.3,7.1,25,214,3.5,6.7,16.7,2.514,0.135,4.9,0.347,0.034,25.3,2.7324,1.8633
7.3,8.5,19.7,217,4,6.5,17.6,2.841,0.117,5.1,0.409,0.031,38.9,2.6812,1.8451
7,8.8,15.4,347,4.3,6.5,13.1,3.945,0.098,5.2,0.673,0.016,32.3,1.9777,0.301
6.8,9.5,9.6,313,2.9,5.5,9.5,4.364,0.129,2.8,0.861,0.062,18.1,2.6628,1.8451
8.4,14.5,3.6,369,4.7,8.1,15.9,5.226,0.104,7.5,0.3,0.007,133,1.7782,0.6021
7.3,14.2,5.3,358,4.1,6.5,15,5.067,0.139,5.6,1.062,0.041,51.6,2.9731,2
7.5,13.3,10.3,273,5,7.7,19.6,4.042,0.118,5.8,0.678,0.019,53.1,3.7782,2.7324
7.2,9.5,16.4,294,4.5,6.3,12.8,3.852,0.096,5.4,0.735,0.024,27.8,1.6021,0
7.3,9.3,19.9,202,4.1,6.5,22,2.573,0.097,5.5,0.259,0.026,41.9,3.5911,2.8751
7.1,6.7,24.4,289,4.9,8.6,22.8,3.751,0.135,7.3,0.985,0.035,49.2,2.301,1.1461
6.9,6.9,26.6,185,3,6.9,20.9,2.459,0.138,5.6,0.323,0.067,28.7,4.1761,3.3802
7.2,5.6,29.5,280,5.1,11.3,23.2,2.578,0.181,7.9,0.576,0.074,46.5,2,1.4771
6.9,7.3,23.7,190,3.2,7.3,11.6,2.502,0.135,5.5,0.444,0.073,20.7,2.7324,1.9777
7.1,8.4,19.8,182,3.3,6.4,27.5,3.037,0.196,4.8,0.502,0.102,15.8,3.9542,2.7782
7.4,10,13.2,302,3.4,5.8,11.6,4.027,0.102,4.7,0.538,0.034,23.9,2.8451,1.9542
7,11.2,8.1,350,3.4,6.1,7.7,4.594,0.091,5,0.843,0.029,38,2.301,1.301
7.3,13.1,5.4,332,3.4,6.7,6.9,4.325,0.094,5,0.724,0.016,42.5,1.8129,1.301
8,13.9,5,403,6.5,11.5,23.6,5.665,0.111,7.6,0.809,0.008,132.1,1.7782,0
7.7,11.7,9.2,398,5,8.9,12,5.857,0.085,6.6,1.943,0.017,35.6,1.6021,0
7.2,10.9,15.6,359,6,9.8,11,5.697,0.134,7.9,2.073,0.057,80.9,2.0792,0.699
7.5,10.5,21.2,373,4.3,10.1,12.1,4.327,0.066,7.5,1.112,0.012,24,2.0414,1.3424
7.4,6.8,24,386,5.2,14.2,20.1,3.892,0.092,10.2,1.182,0.005,56.1,2.4771,2
7,5.2,27.3,252,4.3,8.8,17.1,3.168,0.135,7.3,1.111,0.064,20.8,2.7782,2
7.3,6.7,27.5,220,4.4,8.6,22.8,3.01,0.159,6.3,0.914,0.07,32.5,3,1.699
6.9,7.6,24,180,3.6,7.7,12.8,2.183,0.1,5.8,0.176,0.052,40.4,2,1.699
7.4,8.8,18.8,272,3.5,7.1,11.8,2.886,0.078,5.4,0.545,0.019,32,2.4771,1.4771
7.7,10.5,11.7,397,3.3,7.5,12.5,4.581,0.073,5.9,0.998,0.008,26.1,2,0
8.1,10.9,6,496,2.6,7.2,7.8,5.655,0.071,5.7,1.297,0.011,17.7,1.5563,0.4771
8.3,14.6,4.1,489,7.2,13,20.3,6.551,0.159,9.7,2.274,0.017,155.4,2.0414,0.8451
8.5,14.9,4.4,483,5.7,10.4,13.6,7.818,0.12,8.2,4.195,0.02,68.2,1.3979,0
7.6,9.1,10.3,415,4,7.9,8.6,7.502,0.118,6.6,4.24,0.019,24.3,2.9031,2
7.6,9,15.4,274,4.4,8.2,19.2,4.374,0.1,6.1,1.529,0.021,56.5,2.1139,1
7.7,7.5,21.1,301,4.9,8.9,15.7,4.07,0.097,6.9,1.658,0.024,61.8,2.9542,2.0414
7.8,5,25.7,338,4.6,12.2,14.4,3.717,0.097,9.1,1.135,0.032,44.2,2.4771,0.301
8,5.9,27.5,233,4.9,9.4,19,3.009,0.116,6.7,0.459,0.043,41.3,3.6021,3.2788
7.9,6.1,30.5,304,4.5,12.4,16.4,2.745,0.154,8.9,0.804,0.07,48.2,2.6021,0.699
7.3,7.5,24.3,194,4.2,7.4,18.7,2.585,0.095,5.8,0.251,0.049,35.8,3.2788,2.301
8,9.9,18.4,253,3.7,7.6,16.7,2.898,0.128,6.9,0.219,0.03,54.6,2.1139,1
8.2,12.3,12.5,351,5.1,9.7,18,4.147,0.136,8.1,0.95,0.033,112.2,2.9243,2.2041
8.8,14.8,7.2,404,5.1,10.6,23.1,4.971,0.159,9.1,1.212,0.032,111.1,3.301,2.5315
8.5,16.3,5,455,5.2,10.9,20.9,7.118,0.13,9.6,1.624,0.021,117.5,2.1461,1.301
8.9,16.6,5.4,407,6.2,13.4,18.6,6.277,0.157,10.4,2.434,0.014,136.5,2.4771,1
8.2,9.3,10.9,410,5.3,10.6,15.5,6.171,0.127,8.2,2.785,0.024,58.1,2.699,0.301
8.7,10.1,14.4,327,4.4,9.3,17.9,4.295,0.16,8.3,1.758,0.022,66.4,1.6021,0.4771
7.4,6,19.7,330,3.7,8.5,13.9,4.093,0.151,6.5,2.031,0.05,31.2,0.301,0
8.2,7.8,24.2,268,4.6,11.1,20.7,2.939,0.112,8.8,0.995,0.018,51.7,1.8129,1.0792
7.9,9.5,26,181,3.7,8.9,16.8,2.494,0.116,8.1,0.38,0.05,30.8,3.5315,3.0792
7.8,7.5,28.8,205,3.4,8.5,15.7,2.069,0.113,8.1,0.499,0.061,45.8,2.7324,0.301
7.6,7.8,23.8,175,3.2,7.1,11.4,2.399,0.12,5,0.176,0.082,23.3,2.2041,1.6721
7.8,9.6,19.7,249,2.6,5.2,11.9,3.255,0.075,4,0.206,0.023,28.8,3.2553,2.7076
8.2,10.7,14.4,354,4.7,7.9,16.5,4.056,0.051,7.1,0.362,0.017,49.3,2.4624,1.2553
7.8,10.9,8.7,414,3.6,7.3,5.7,5.492,0.091,5.8,1.965,0.058,21.1,3.5682,2.4472
7.6,14.7,4.5,373,3.9,5.6,15.1,4.808,0.085,4.2,1.085,0.013,55,1.8261,1.301
8.1,13.9,4.1,345,4.5,6.9,17,5.078,0.081,4.5,1.292,0.004,80.5,1.9031,0.301
8.2,13.4,9,361,5.5,8.4,19.5,5.719,0.096,5.8,1.868,0.008,76.4,2.1239,1
7.7,9.7,15.5,314,5.3,7.6,17.8,4.621,0.103,5.6,1.609,0.02,54.6,3.1206,2.29
7.2,8.5,20.2,237,4.2,6.5,20,3.145,0.1,5.1,0.795,0.027,22.2,2.2856,1.9685
7.2,6.8,24.1,279,4.5,7.9,19.6,3.573,0.085,6.7,1.104,0.012,35.9,1.8129,1.415
7.3,6.8,25.9,201,4,7.3,19.2,2.907,0.129,5.5,0.451,0.04,31.1,2.4771,0.6021
7.3,4.6,27.7,274,5,7.8,19.4,2.893,0.183,6,0.514,0.054,36,3.6812,3.1875
7.5,6.8,25,219,3.6,6.7,18.3,2.433,0.121,4.9,0.261,0.02,24.9,3.0334,2.3118
7.1,7.7,19.7,226,4.4,6.2,19.9,2.975,0.11,5.1,0.498,0.025,18,2.7482,1.716
7.1,8.5,15.5,330,4.1,6.2,14.6,3.721,0.1,5.2,0.587,0.018,26,2.6021,1.2041
6.9,9.5,9.6,309,3.4,5.3,9.8,4.374,0.116,2.8,0.838,0.051,15.6,2.2553,1.8195
8.5,14.8,3.5,351,4.9,7.6,15.2,4.621,0.088,7,0.154,0.007,118.9,1.6532,1.6812
7.3,14.4,5.3,353,4.1,7,19.2,5.102,0.129,6,0.937,0.033,58.6,2.6721,2.3222
7.7,13.4,10.1,265,5.1,7.5,19.2,3.945,0.109,5.9,0.566,0.012,45.7,3.1139,2.301
7.2,9.9,16.4,272,3.9,6.4,14,3.519,0.099,5.4,0.499,0.02,23.7,1.7782,0
7.3,8.4,19.7,213,4,6.7,23.7,2.858,0.116,5.5,0.248,0.038,39.7,4.2625,3.5911
7.3,6.9,24.2,281,4.6,8.1,22.4,3.481,0.123,7.3,0.745,0.028,41.4,2,1.0792
7,6.9,26.3,178,2.9,7.2,27.9,2.324,0.15,5.8,0.239,0.066,26.4,4.2041,3.3424
7.3,5.4,29.6,268,3.7,8.9,21.3,2.126,0.141,7.2,0.243,0.059,29.1,2.4771,1.6021
7,6.9,23.8,191,3.5,7.4,13.5,2.447,0.134,5.7,0.331,0.069,24.7,3.1761,1.4771
7.1,8.2,19.7,185,3.4,8.1,34.1,3.149,0.275,5.5,0.355,0.155,15.8,3.9031,3
7.3,9.8,12.9,285,3,5.5,14.5,3.727,0.111,4.4,0.404,0.039,20.1,2.6021,2.0792
7.4,11.6,8,349,3.5,6,9.6,4.374,0.08,5.1,0.573,0.017,37.2,2,1
7.3,12.4,5.4,346,2.9,6.8,9,4.429,0.097,5,0.746,0.027,45.8,1.8451,0.301
8.3,13.5,4.9,385,6.5,11,22.4,5.129,0.102,7.4,0.457,0.008,128.5,1.9542,0
7.7,11.2,8.5,407,3.9,7.9,12,5.711,0.068,6.2,1.773,0.015,18.4,1.301,0
7.4,12.1,15.6,362,5.6,9.4,10.2,5.336,0.078,7.3,1.643,0.01,54.7,1.9031,0
7.5,9.5,21.1,356,3.3,8.9,10.8,3.728,0.059,7,0.79,0.011,16.1,1.9031,0.6021
7.2,7.7,23.9,373,3.9,12.5,26.7,3.847,0.096,8.9,0.97,0.011,32.3,2.4771,0.6021
6.8,5.1,27.4,273,4,9.5,29.6,3.315,0.13,7.3,1.039,0.057,15.7,2.6021,2.301
7,5.6,27.6,234,3.8,7.9,22.2,3.117,0.148,6.2,0.99,0.072,20.8,2,1.699
6.8,7.4,23.8,167,2.9,6.9,14.8,2.144,0.101,5.2,0.152,0.055,28.4,2.6021,1.699
7.2,8.3,18.7,263,3.5,6.4,15.1,2.717,0.085,5.1,0.491,0.026,23.8,2.301,1.699
7.5,11.2,11.8,369,3.3,7.2,13.7,4.118,0.059,5.7,0.689,0.01,33.1,1.699,0.301
7.9,11.4,6.3,471,2.6,6.7,9.5,5.091,0.067,5.5,1.067,0.012,17.5,1.0792,0
8.2,13,3.8,474,5.7,11.1,15.3,6.747,0.119,8.4,2.313,0.013,105.6,1.6435,0.301
8.6,14.9,3.8,465,5.2,10,12.9,6.701,0.107,7.7,2.794,0.015,57.6,0.699,0.301
7.5,9.2,10.1,401,3,7.9,9.7,7.046,0.102,6.2,3.458,0.019,17.5,2.9031,2.301
7.7,8.6,15.4,271,3.9,7.9,17.9,4.435,0.098,5.9,1.593,0.025,32.8,1.4771,1
7.6,7,21.1,280,3.6,8.2,14.9,3.502,0.081,6.3,1.051,0.022,31.4,2.4771,1.4771
7.9,6.2,25.4,323,4.3,11.9,15.9,3.163,0.085,9,0.776,0.021,32.5,2,0
8.4,8.2,28,214,4.7,10.5,27.2,2.531,0.118,7.1,0.235,0.035,37.8,4.301,3.0414
8.4,7.7,30.8,344,5.2,14.5,26.7,2.4,0.168,9.7,0.503,0.056,40.4,2,1.4771
7.2,7.1,24.2,183,3.6,7.4,20.4,2.591,0.108,5.2,0.21,0.048,27.6,2.6021,2.2788
7.7,8.6,18.4,229,3,7.3,17.7,2.558,0.109,6.3,0.187,0.03,22.1,2.4771,1.5185
7.9,9.4,12.7,332,3.6,7.5,11.5,3.592,0.099,6.9,1.02,0.037,30.5,2.6021,1.0792
8.6,14.1,7.8,392,4.2,10.1,13.1,4.371,0.092,8.1,1.18,0.028,67.6,3.6021,2.1761
8.5,15.9,4.4,439,4.7,10.1,17.4,6.836,0.103,8.6,1.333,0.013,100.7,1.6021,1.301
8.9,15.9,5.1,411,6.1,13.1,18.2,6.029,0.132,9.7,1.965,0.012,104.4,2.3424,1
8,8.3,10.2,399,3.9,8.3,11,5.893,0.108,6.9,2.536,0.027,35.8,2,0
8.6,11.1,14.2,350,4.4,9.2,11.8,4.814,0.152,8.1,1.938,0.022,59.4,1.9031,0.699
7.5,7.2,19.4,327,4,8.6,13.5,3.708,0.134,6.5,1.632,0.033,32.2,0.9031,0
8.2,6.1,23.8,275,4.7,11.2,19.1,2.979,0.117,8.1,1.019,0.023,40.9,1.7404,1.301
7.9,8.8,26.5,191,3.8,9.6,18.4,2.641,0.121,8.8,0.297,0.05,27.7,3.4624,3.1139
7.9,7.9,28.3,194,3.8,8.6,16,1.999,0.119,8,0.305,0.058,36.1,1.9912,0
7.3,6.8,23.4,173,2.8,6.9,17.7,2.511,0.128,5.1,0.243,0.086,14.1,2.5185,1.9868
7.7,8.6,19.8,230,2.4,5.3,11.2,3.072,0.082,3.8,0.173,0.034,12,3.3222,2.6128
8.1,10.4,14.4,337,3.5,7,12.3,3.692,0.047,6.3,0.259,0.017,34.8,2.6532,1
7.8,11.5,8.5,409,3.6,7.1,7.4,5.379,0.055,6,1.75,0.025,23.8,3.301,2.716
