pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain,log TC,log FC,log Flow,log Rain
7.4,8.8,18.8,272,3.5,7.1,11.8,2.886,0.078,5.4,300,0.545,0.019,32,30,19.645,62.7,2.4771,1.4771,1.2933,1.7973
7.7,10.5,11.7,397,3.3,7.5,12.5,4.581,0.073,5.9,100,0.998,0.008,26.1,1,21.103,1.4,2,0,1.3243,0.1461
8.1,10.9,6,496,2.6,7.2,7.8,5.655,0.071,5.7,36,1.297,0.011,17.7,3,16.96,45.3,1.5563,0.4771,1.2294,1.6561
8.3,14.6,4.1,489,7.2,13,20.3,6.551,0.159,9.7,110,2.274,0.017,155.4,7,26.607,58,2.0414,0.8451,1.425,1.7634
8.5,14.9,4.4,483,5.7,10.4,13.6,7.818,0.12,8.2,25,4.195,0.02,68.2,1,13.41,39.3,1.3979,0,1.1274,1.5944
7.6,9.1,10.3,415,4,7.9,8.6,7.502,0.118,6.6,800,4.24,0.019,24.3,100,29.906,152.7,2.9031,2,1.4758,2.1838
7.6,9,15.4,274,4.4,8.2,19.2,4.374,0.1,6.1,130,1.529,0.021,56.5,10,97.752,169,2.1139,1,1.9901,2.2279
7.7,7.5,21.1,301,4.9,8.9,15.7,4.07,0.097,6.9,900,1.658,0.024,61.8,110,55.849,89.3,2.9542,2.0414,1.747,1.9509
7.8,5,25.7,338,4.6,12.2,14.4,3.717,0.097,9.1,300,1.135,0.032,44.2,2,26.872,162,2.4771,0.301,1.4293,2.2095
8,5.9,27.5,233,4.9,9.4,19,3.009,0.116,6.7,4000,0.459,0.043,41.3,1900,48.904,67.6,3.6021,3.2788,1.6893,1.8299
7.9,6.1,30.5,304,4.5,12.4,16.4,2.745,0.154,8.9,400,0.804,0.07,48.2,5,15.464,246.2,2.6021,0.699,1.1893,2.3913
7.3,7.5,24.3,194,4.2,7.4,18.7,2.585,0.095,5.8,1900,0.251,0.049,35.8,200,155.253,151.4,3.2788,2.301,2.191,2.1801
8,9.9,18.4,253,3.7,7.6,16.7,2.898,0.128,6.9,130,0.219,0.03,54.6,10,113.241,138.4,2.1139,1,2.054,2.1411
8.2,12.3,12.5,351,5.1,9.7,18,4.147,0.136,8.1,840,0.95,0.033,112.2,160,12.627,51.1,2.9243,2.2041,1.1013,1.7084
8.8,14.8,7.2,404,5.1,10.6,23.1,4.971,0.159,9.1,2000,1.212,0.032,111.1,340,16.621,38.3,3.301,2.5315,1.2207,1.5832
8.5,16.3,5,455,5.2,10.9,20.9,7.118,0.13,9.6,140,1.624,0.021,117.5,20,14.324,13.3,2.1461,1.301,1.1561,1.1239
8.9,16.6,5.4,407,6.2,13.4,18.6,6.277,0.157,10.4,300,2.434,0.014,136.5,10,16.909,29.6,2.4771,1,1.2281,1.4713
8.2,9.3,10.9,410,5.3,10.6,15.5,6.171,0.127,8.2,500,2.785,0.024,58.1,2,18.053,38.5,2.699,0.301,1.2565,1.5855
8.7,10.1,14.4,327,4.4,9.3,17.9,4.295,0.16,8.3,40,1.758,0.022,66.4,3,19.123,86.3,1.6021,0.4771,1.2816,1.936
7.4,6,19.7,330,3.7,8.5,13.9,4.093,0.151,6.5,2,2.031,0.05,31.2,1,22.146,122.9,0.301,0,1.3453,2.0896
8.2,7.8,24.2,268,4.6,11.1,20.7,2.939,0.112,8.8,65,0.995,0.018,51.7,12,27.817,172.3,1.8129,1.0792,1.4443,2.2363
7.9,9.5,26,181,3.7,8.9,16.8,2.494,0.116,8.1,3400,0.38,0.05,30.8,1200,46.295,167,3.5315,3.0792,1.6655,2.2227
7.8,7.5,28.8,205,3.4,8.5,15.7,2.069,0.113,8.1,540,0.499,0.061,45.8,2,44.483,144.9,2.7324,0.301,1.6482,2.1611
7.6,7.8,23.8,175,3.2,7.1,11.4,2.399,0.12,5,160,0.176,0.082,23.3,47,49.015,259.3,2.2041,1.6721,1.6903,2.4138
7.8,9.6,19.7,249,2.6,5.2,11.9,3.255,0.075,4,1800,0.206,0.023,28.8,510,24.599,159,3.2553,2.7076,1.3909,2.2014
8.2,10.7,14.4,354,4.7,7.9,16.5,4.056,0.051,7.1,290,0.362,0.017,49.3,18,10.33,14.6,2.4624,1.2553,1.0141,1.1644
7.8,10.9,8.7,414,3.6,7.3,5.7,5.492,0.091,5.8,3700,1.965,0.058,21.1,280,11.253,40.7,3.5682,2.4472,1.0513,1.6096
7.6,14.7,4.5,373,3.9,5.6,15.1,4.808,0.085,4.2,67,1.085,0.013,55,20,38.474,41.1,1.8261,1.301,1.5852,1.6138
8.1,13.9,4.1,345,4.5,6.9,17,5.078,0.081,4.5,80,1.292,0.004,80.5,2,25.326,25.7,1.9031,0.301,1.4036,1.4099
8.2,13.4,9,361,5.5,8.4,19.5,5.719,0.096,5.8,133,1.868,0.008,76.4,10,20.012,34.4,2.1239,1,1.3013,1.5366
7.7,9.7,15.5,314,5.3,7.6,17.8,4.621,0.103,5.6,1320,1.609,0.02,54.6,195,43.103,159.6,3.1206,2.29,1.6345,2.203
7.2,8.5,20.2,237,4.2,6.5,20,3.145,0.1,5.1,193,0.795,0.027,22.2,93,48.581,77.8,2.2856,1.9685,1.6865,1.891
7.2,6.8,24.1,279,4.5,7.9,19.6,3.573,0.085,6.7,65,1.104,0.012,35.9,26,50.842,117.8,1.8129,1.415,1.7062,2.0711
7.3,6.8,25.9,201,4,7.3,19.2,2.907,0.129,5.5,300,0.451,0.04,31.1,4,57.82,159.6,2.4771,0.6021,1.7621,2.203
7.3,4.6,27.7,274,5,7.8,19.4,2.893,0.183,6,4800,0.514,0.054,36,1540,57.917,86.5,3.6812,3.1875,1.7628,1.937
7.5,6.8,25,219,3.6,6.7,18.3,2.433,0.121,4.9,1080,0.261,0.02,24.9,205,46.262,79.5,3.0334,2.3118,1.6652,1.9004
7.1,7.7,19.7,226,4.4,6.2,19.9,2.975,0.11,5.1,560,0.498,0.025,18,52,23.138,84.2,2.7482,1.716,1.3643,1.9253
7.1,8.5,15.5,330,4.1,6.2,14.6,3.721,0.1,5.2,400,0.587,0.018,26,16,27.262,106.8,2.6021,1.2041,1.4356,2.0286
6.9,9.5,9.6,309,3.4,5.3,9.8,4.374,0.116,2.8,180,0.838,0.051,15.6,66,35.164,69.3,2.2553,1.8195,1.5461,1.8407
8.5,14.8,3.5,351,4.9,7.6,15.2,4.621,0.088,7,45,0.154,0.007,118.9,48,24.477,79.2,1.6532,1.6812,1.3888,1.8987
7.3,14.4,5.3,353,4.1,7,19.2,5.102,0.129,6,470,0.937,0.033,58.6,210,45.833,40.5,2.6721,2.3222,1.6612,1.6075
7.7,13.4,10.1,265,5.1,7.5,19.2,3.945,0.109,5.9,1300,0.566,0.012,45.7,200,40.739,54.9,3.1139,2.301,1.61,1.7396
7.2,9.9,16.4,272,3.9,6.4,14,3.519,0.099,5.4,60,0.499,0.02,23.7,1,45.568,192,1.7782,0,1.6587,2.2833
7.3,8.4,19.7,213,4,6.7,23.7,2.858,0.116,5.5,18300,0.248,0.038,39.7,3900,64.289,119.9,4.2625,3.5911,1.8081,2.0788
7.3,6.9,24.2,281,4.6,8.1,22.4,3.481,0.123,7.3,100,0.745,0.028,41.4,12,53.891,133.6,2,1.0792,1.7315,2.1258
7,6.9,26.3,178,2.9,7.2,27.9,2.324,0.15,5.8,16000,0.239,0.066,26.4,2200,154.334,249.2,4.2041,3.3424,2.1885,2.3965
7.3,5.4,29.6,268,3.7,8.9,21.3,2.126,0.141,7.2,300,0.243,0.059,29.1,40,48.273,20.4,2.4771,1.6021,1.6837,1.3096
7,6.9,23.8,191,3.5,7.4,13.5,2.447,0.134,5.7,1500,0.331,0.069,24.7,30,57.882,197.8,3.1761,1.4771,1.7625,2.2962
7.1,8.2,19.7,185,3.4,8.1,34.1,3.149,0.275,5.5,8000,0.355,0.155,15.8,1000,68.15,203.1,3.9031,3,1.8335,2.3077
7.3,9.8,12.9,285,3,5.5,14.5,3.727,0.111,4.4,400,0.404,0.039,20.1,120,31.71,61.5,2.6021,2.0792,1.5012,1.7889
7.4,11.6,8,349,3.5,6,9.6,4.374,0.08,5.1,100,0.573,0.017,37.2,10,24.266,45.9,2,1,1.385,1.6618
7.3,12.4,5.4,346,2.9,6.8,9,4.429,0.097,5,70,0.746,0.027,45.8,2,26.541,13.9,1.8451,0.301,1.4239,1.143
8.3,13.5,4.9,385,6.5,11,22.4,5.129,0.102,7.4,90,0.457,0.008,128.5,1,33.811,32.3,1.9542,0,1.5291,1.5092
7.7,11.2,8.5,407,3.9,7.9,12,5.711,0.068,6.2,20,1.773,0.015,18.4,1,27.675,3.1,1.301,0,1.4421,0.4914
7.4,12.1,15.6,362,5.6,9.4,10.2,5.336,0.078,7.3,80,1.643,0.01,54.7,1,24.79,6.2,1.9031,0,1.3943,0.7924
7.5,9.5,21.1,356,3.3,8.9,10.8,3.728,0.059,7,80,0.79,0.011,16.1,4,19.795,13.3,1.9031,0.6021,1.2966,1.1239
7.2,7.7,23.9,373,3.9,12.5,26.7,3.847,0.096,8.9,300,0.97,0.011,32.3,4,48.527,28.5,2.4771,0.6021,1.686,1.4548
6.8,5.1,27.4,273,4,9.5,29.6,3.315,0.13,7.3,400,1.039,0.057,15.7,200,61.922,138.2,2.6021,2.301,1.7918,2.1405
7,5.6,27.6,234,3.8,7.9,22.2,3.117,0.148,6.2,100,0.99,0.072,20.8,50,49.217,200.8,2,1.699,1.6921,2.3028
6.8,7.4,23.8,167,2.9,6.9,14.8,2.144,0.101,5.2,400,0.152,0.055,28.4,50,55.976,109.4,2.6021,1.699,1.748,2.039
7.2,8.3,18.7,263,3.5,6.4,15.1,2.717,0.085,5.1,200,0.491,0.026,23.8,50,21.409,62.7,2.301,1.699,1.3306,1.7973
7.5,11.2,11.8,369,3.3,7.2,13.7,4.118,0.059,5.7,50,0.689,0.01,33.1,2,21.937,1.4,1.699,0.301,1.3412,0.1461
7.9,11.4,6.3,471,2.6,6.7,9.5,5.091,0.067,5.5,12,1.067,0.012,17.5,1,17.711,45.3,1.0792,0,1.2482,1.6561
8.2,13,3.8,474,5.7,11.1,15.3,6.747,0.119,8.4,44,2.313,0.013,105.6,2,28.58,58,1.6435,0.301,1.4561,1.7634
8.6,14.9,3.8,465,5.2,10,12.9,6.701,0.107,7.7,5,2.794,0.015,57.6,2,14.642,39.3,0.699,0.301,1.1656,1.5944
7.5,9.2,10.1,401,3,7.9,9.7,7.046,0.102,6.2,800,3.458,0.019,17.5,200,34.235,152.7,2.9031,2.301,1.5345,2.1838
7.7,8.6,15.4,271,3.9,7.9,17.9,4.435,0.098,5.9,30,1.593,0.025,32.8,10,108.369,169,1.4771,1,2.0349,2.2279
7.6,7,21.1,280,3.6,8.2,14.9,3.502,0.081,6.3,300,1.051,0.022,31.4,30,66.894,89.3,2.4771,1.4771,1.8254,1.9509
7.9,6.2,25.4,323,4.3,11.9,15.9,3.163,0.085,9,100,0.776,0.021,32.5,1,33.6,162,2,0,1.5263,2.2095
8.4,8.2,28,214,4.7,10.5,27.2,2.531,0.118,7.1,20000,0.235,0.035,37.8,1100,55.787,67.6,4.301,3.0414,1.7465,1.8299
8.4,7.7,30.8,344,5.2,14.5,26.7,2.4,0.168,9.7,100,0.503,0.056,40.4,30,17.23,246.2,2,1.4771,1.2363,2.3913
7.2,7.1,24.2,183,3.6,7.4,20.4,2.591,0.108,5.2,400,0.21,0.048,27.6,190,176.091,151.4,2.6021,2.2788,2.2457,2.1801
7.7,8.6,18.4,229,3,7.3,17.7,2.558,0.109,6.3,300,0.187,0.03,22.1,33,118.054,138.4,2.4771,1.5185,2.0721,2.1411
7.9,9.4,12.7,332,3.6,7.5,11.5,3.592,0.099,6.9,400,1.02,0.037,30.5,12,14.486,51.1,2.6021,1.0792,1.1609,1.7084
8.6,14.1,7.8,392,4.2,10.1,13.1,4.371,0.092,8.1,4000,1.18,0.028,67.6,150,20.713,38.3,3.6021,2.1761,1.3162,1.5832
8.5,15.9,4.4,439,4.7,10.1,17.4,6.836,0.103,8.6,40,1.333,0.013,100.7,20,16.01,13.3,1.6021,1.301,1.2044,1.1239
8.9,15.9,5.1,411,6.1,13.1,18.2,6.029,0.132,9.7,220,1.965,0.012,104.4,10,19.421,29.6,2.3424,1,1.2883,1.4713
8,8.3,10.2,399,3.9,8.3,11,5.893,0.108,6.9,100,2.536,0.027,35.8,1,19.783,38.5,2,0,1.2963,1.5855
8.6,11.1,14.2,350,4.4,9.2,11.8,4.814,0.152,8.1,80,1.938,0.022,59.4,5,21.241,86.3,1.9031,0.699,1.3272,1.936
7.5,7.2,19.4,327,4,8.6,13.5,3.708,0.134,6.5,8,1.632,0.033,32.2,1,26.601,122.9,0.9031,0,1.4249,2.0896
8.2,6.1,23.8,275,4.7,11.2,19.1,2.979,0.117,8.1,55,1.019,0.023,40.9,20,34.232,172.3,1.7404,1.301,1.5344,2.2363
7.9,8.8,26.5,191,3.8,9.6,18.4,2.641,0.121,8.8,2900,0.297,0.05,27.7,1300,53.368,167,3.4624,3.1139,1.7273,2.2227
7.9,7.9,28.3,194,3.8,8.6,16,1.999,0.119,8,98,0.305,0.058,36.1,1,54.18,144.9,1.9912,0,1.7338,2.1611
7.3,6.8,23.4,173,2.8,6.9,17.7,2.511,0.128,5.1,330,0.243,0.086,14.1,97,60.086,259.3,2.5185,1.9868,1.7788,2.4138
7.7,8.6,19.8,230,2.4,5.3,11.2,3.072,0.082,3.8,2100,0.173,0.034,12,410,30.764,159,3.3222,2.6128,1.488,2.2014
8.1,10.4,14.4,337,3.5,7,12.3,3.692,0.047,6.3,450,0.259,0.017,34.8,10,13.34,14.6,2.6532,1,1.1252,1.1644
7.8,11.5,8.5,409,3.6,7.1,7.4,5.379,0.055,6,2000,1.75,0.025,23.8,520,13.058,40.7,3.301,2.716,1.1159,1.6096
