WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Flowrate,
12.7 ,8.3 ,260 ,14.4 ,1.4 ,4.0 ,13.8 ,4.730 ,0.023 ,2.6 ,0.428 ,
14.0 ,8.4 ,330 ,12.9 ,1.4 ,3.6 ,7.0 ,5.842 ,0.042 ,2.5 ,0.256 ,
10.8 ,7.9 ,143 ,11.2 ,1.3 ,6.2 ,24.8 ,2.360 ,0.048 ,4.1 ,1.477 ,
10.4 ,8.1 ,260 ,12.4 ,1.2 ,4.0 ,7.6 ,4.178 ,0.022 ,2.7 ,0.451 ,
12.4 ,8.0 ,221 ,11.2 ,1.4 ,4.9 ,15.4 ,2.325 ,0.044 ,3.4 ,0.995 ,
18.9 ,8.3 ,197 ,10.8 ,1.0 ,5.3 ,20.0 ,1.858 ,0.045 ,3.0 ,1.094 ,
21.8 ,8.3 ,205 ,10.7 ,1.3 ,5.0 ,11.8 ,1.746 ,0.046 ,2.8 ,1.015 ,
18.9 ,7.8 ,193 ,9.6 ,1.7 ,6.5 ,23.4 ,2.144 ,0.065 ,4.3 ,3.004 ,
20.1 ,7.6 ,202 ,8.5 ,2.2 ,8.3 ,34.0 ,1.841 ,0.078 ,4.6 ,5.796 ,
23.3 ,7.9 ,202 ,10.3 ,1.5 ,5.2 ,21.0 ,2.171 ,0.041 ,3.3 ,1.001 ,
22.4 ,8.0 ,226 ,9.3 ,2.0 ,6.7 ,13.6 ,1.595 ,0.062 ,4.4 ,0.401 ,
26.6 ,7.9 ,237 ,9.1 ,1.8 ,7.6 ,14.4 ,1.550 ,0.102 ,5.3 ,0.312 ,
25.3 ,7.5 ,176 ,8.3 ,1.1 ,5.9 ,15.0 ,2.313 ,0.079 ,4.4 ,1.321 ,
29.3 ,8.0 ,237 ,10.6 ,1.9 ,5.5 ,15.8 ,1.513 ,0.042 ,3.6 ,0.185 ,
27.7 ,7.2 ,191 ,8.0 ,1.7 ,6.8 ,23.0 ,2.586 ,0.104 ,4.4 ,1.518 ,
25.6 ,7.3 ,224 ,7.9 ,2.1 ,7.1 ,33.4 ,2.160 ,0.160 ,4.2 ,1.919 ,
26.2 ,7.5 ,199 ,7.9 ,1.9 ,6.2 ,24.4 ,2.190 ,0.145 ,4.5 ,1.127 ,
27.4 ,7.2 ,137 ,8.4 ,1.5 ,9.0 ,23.8 ,1.696 ,0.118 ,6.2 ,2.060 ,
32.1 ,8.5 ,206 ,10.2 ,1.5 ,5.1 ,8.0 ,0.779 ,0.064 ,3.6 ,0.223 ,
28.3 ,8.2 ,198 ,9.2 ,1.5 ,6.1 ,13.8 ,1.534 ,0.098 ,4.4 ,0.657 ,
30.8 ,9.4 ,241 ,12.8 ,1.4 ,4.9 ,9.4 ,0.851 ,0.048 ,3.7 ,0.157 ,
26.4 ,9.1 ,261 ,13.4 ,1.3 ,4.2 ,9.2 ,1.483 ,0.059 ,3.1 ,0.278 ,
26.3 ,8.1 ,261 ,10.3 ,1.1 ,4.7 ,3.6 ,0.650 ,0.062 ,3.0 ,0.164 ,
20.1 ,7.7 ,248 ,8.8 ,0.9 ,4.7 ,3.2 ,1.651 ,0.041 ,3.2 ,0.355 ,
19.7 ,7.8 ,191 ,10.5 ,0.8 ,4.9 ,4.0 ,1.537 ,0.038 ,3.7 ,0.619 ,
17.9 ,7.9 ,249 ,10.9 ,1.0 ,3.7 ,2.0 ,1.393 ,0.018 ,2.5 ,0.203 ,
15.1 ,7.8 ,300 ,10.8 ,1.1 ,3.3 ,2.6 ,3.344 ,0.028 ,2.4 ,0.141 ,
15.6 ,7.7 ,281 ,10.5 ,0.7 ,3.2 ,4.0 ,1.456 ,0.032 ,2.1 ,0.129 ,
10.3 ,7.9 ,382 ,11.8 ,0.9 ,3.5 ,2.6 ,7.471 ,0.026 ,1.9 ,0.339 ,
6.5 ,8.2 ,429 ,12.5 ,0.6 ,2.9 ,2.6 ,11.295 ,0.035 ,1.5 ,0.249 ,
8.1 ,7.8 ,338 ,11.9 ,2.0 ,4.6 ,18.8 ,7.249 ,0.090 ,2.4 ,0.417 ,
7.4 ,8.3 ,369 ,13.3 ,0.3 ,3.2 ,3.6 ,8.806 ,0.023 ,2.1 ,0.359 ,
7.4 ,8.1 ,418 ,13.0 ,0.9 ,3.0 ,1.4 ,11.941 ,0.019 ,1.6 ,0.332 ,
5.9 ,8.3 ,461 ,16.4 ,0.4 ,2.2 ,1.2 ,14.538 ,0.022 ,1.2 ,0.404 ,
4.0 ,8.3 ,452 ,14.2 ,0.7 ,2.5 ,1.0 ,12.403 ,0.022 ,1.3 ,0.362 ,
5.9 ,8.3 ,487 ,14.4 ,0.4 ,2.3 ,1.8 ,15.160 ,0.027 ,1.2 ,0.270 ,
7.3 ,7.9 ,479 ,15.3 ,0.6 ,2.1 ,1.8 ,16.270 ,0.024 ,1.1 ,0.297 ,
4.5 ,7.9 ,478 ,13.7 ,0.3 ,2.1 ,1.4 ,14.719 ,0.025 ,1.0 ,0.226 ,
8.0 ,8.1 ,453 ,13.0 ,0.8 ,2.9 ,1.2 ,14.361 ,0.021 ,1.0 ,0.236 ,
8.7 ,8.2 ,443 ,15.3 ,0.9 ,2.9 ,13.2 ,13.199 ,0.039 ,1.0 ,0.167 ,
9.3 ,8.1 ,471 ,15.7 ,0.4 ,2.3 ,1.2 ,14.662 ,0.022 ,0.9 ,0.211 ,
10.2 ,8.3 ,473 ,15.2 ,0.7 ,2.3 ,1.8 ,14.281 ,0.030 ,1.1 ,0.180 ,
9.4 ,8.3 ,486 ,15.6 ,0.3 ,2.4 ,1.8 ,14.821 ,0.020 ,1.0 ,0.189 ,
15.8 ,8.3 ,312 ,13.6 ,1.6 ,5.2 ,7.0 ,5.291 ,0.043 ,3.8 ,0.239 ,
13.8 ,8.1 ,362 ,12.7 ,1.2 ,4.4 ,11.8 ,7.818 ,0.031 ,2.9 ,0.214 ,
14.3 ,7.4 ,181 ,10.7 ,0.8 ,6.7 ,20.8 ,4.269 ,0.055 ,4.8 ,1.105 ,
14.8 ,7.8 ,253 ,10.5 ,1.5 ,4.6 ,11.0 ,4.142 ,0.044 ,3.4 ,0.420 ,
17.5 ,7.9 ,206 ,10.5 ,1.6 ,5.6 ,37.0 ,3.495 ,0.081 ,3.3 ,0.748 ,
18.6 ,8.2 ,279 ,11.3 ,2.0 ,5.9 ,32.0 ,3.421 ,0.089 ,4.0 ,0.526 ,
22.3 ,8.1 ,225 ,9.7 ,1.8 ,5.5 ,21.4 ,2.350 ,0.078 ,3.8 ,0.497 ,
24.6 ,7.8 ,247 ,8.9 ,1.6 ,4.8 ,18.4 ,2.211 ,0.055 ,2.9 ,0.034 ,
25.0 ,8.2 ,223 ,10.5 ,2.7 ,5.9 ,11.8 ,1.442 ,0.056 ,4.3 ,0.168 ,
22.7 ,8.1 ,221 ,9.7 ,1.8 ,5.2 ,16.2 ,1.785 ,0.054 ,4.2 ,0.221 ,
29.1 ,8.4 ,272 ,9.9 ,2.1 ,6.5 ,1.4 ,0.905 ,0.060 ,5.3 ,0.099 ,
26.4 ,7.7 ,263 ,8.9 ,3.6 ,6.6 ,8.7 ,0.749 ,0.047 ,5.0 ,0.816 ,
28.0 ,8.0 ,225 ,9.8 ,1.1 ,4.9 ,12.2 ,1.413 ,0.063 ,3.3 ,0.523 ,
28.9 ,7.6 ,317 ,9.8 ,1.8 ,6.7 ,5.8 ,0.562 ,0.031 ,4.9 ,0.072 ,
29.2 ,8.2 ,310 ,10.8 ,1.7 ,6.1 ,9.9 ,0.990 ,0.044 ,4.4 ,0.050 ,
30.5 ,8.6 ,238 ,10.0 ,1.9 ,4.9 ,6.4 ,1.313 ,0.062 ,3.3 ,0.149 ,
20.8 ,7.8 ,142 ,8.2 ,6.0 ,33.1 ,388.6 ,4.318 ,0.431 ,9.6 ,47.730 ,
25.9 ,8.1 ,212 ,9.2 ,0.6 ,6.4 ,2.6 ,2.637 ,0.052 ,4.9 ,0.910 ,
24.5 ,7.2 ,238 ,9.5 ,1.1 ,5.8 ,3.0 ,2.233 ,0.026 ,4.0 ,0.366 ,
25.2 ,7.6 ,312 ,9.5 ,1.4 ,4.4 ,2.4 ,1.016 ,0.020 ,3.1 ,0.159 ,
22.9 ,8.3 ,308 ,9.2 ,2.6 ,4.8 ,4.0 ,0.890 ,0.023 ,3.3 ,0.121 ,
18.9 ,8.0 ,271 ,9.3 ,1.5 ,4.4 ,2.0 ,2.469 ,0.020 ,3.0 ,0.225 ,
17.4 ,7.7 ,288 ,9.4 ,0.7 ,4.3 ,1.6 ,1.158 ,0.020 ,2.9 ,0.225 ,
15.3 ,7.6 ,292 ,10.1 ,0.7 ,3.3 ,1.0 ,1.130 ,0.016 ,2.3 ,0.172 ,
15.2 ,7.9 ,216 ,10.2 ,0.9 ,5.1 ,2.0 ,2.437 ,0.031 ,3.6 ,0.539 ,
11.6 ,7.5 ,144 ,10.5 ,1.1 ,6.7 ,5.4 ,1.682 ,0.042 ,4.7 ,2.276 ,
10.3 ,8.1 ,229 ,11.7 ,1.7 ,4.6 ,1.6 ,1.933 ,0.014 ,2.9 ,0.441 ,
9.3 ,8.3 ,392 ,13.0 ,0.8 ,3.1 ,1.4 ,9.461 ,0.018 ,1.9 ,0.369 ,
8.9 ,8.0 ,236 ,11.5 ,1.5 ,6.4 ,9.4 ,2.695 ,0.042 ,4.0 ,4.791 ,
7.4 ,8.1 ,224 ,11.6 ,0.9 ,4.3 ,9.2 ,3.309 ,0.030 ,3.1 ,1.027 ,
4.4 ,8.2 ,326 ,14.6 ,0.5 ,2.9 ,1.0 ,6.909 ,0.014 ,1.9 ,0.392 ,
7.0 ,8.0 ,484 ,13.7 ,1.0 ,2.5 ,2.2 ,14.623 ,0.021 ,1.4 ,0.289 ,
6.8 ,7.9 ,455 ,12.7 ,0.3 ,2.8 ,3.0 ,14.297 ,0.020 ,1.5 ,0.233 ,
7.2 ,7.9 ,467 ,13.1 ,0.9 ,2.3 ,3.4 ,16.952 ,0.023 ,1.2 ,0.318 ,
6.7 ,7.6 ,394 ,12.5 ,0.5 ,2.4 ,2.4 ,10.198 ,0.022 ,1.7 ,0.324 ,
6.4 ,7.8 ,463 ,13.1 ,0.3 ,2.4 ,2.0 ,12.930 ,0.019 ,1.4 ,0.325 ,
6.6 ,7.9 ,460 ,13.7 ,2.0 ,2.6 ,3.4 ,12.431 ,0.021 ,1.5 ,0.243 ,
7.1 ,7.9 ,284 ,14.2 ,1.1 ,3.8 ,8.6 ,5.876 ,0.020 ,1.7 ,0.405 ,
10.5 ,8.0 ,374 ,13.8 ,0.8 ,3.4 ,5.2 ,8.824 ,0.023 ,1.4 ,0.289 ,
13.5 ,8.1 ,372 ,14.5 ,1.6 ,3.7 ,3.2 ,8.443 ,0.018 ,2.2 ,0.237 ,
10.9 ,7.5 ,189 ,11.7 ,2.8 ,5.2 ,22.8 ,3.289 ,0.028 ,2.8 ,0.878 ,
11.6 ,7.6 ,197 ,11.6 ,1.3 ,5.5 ,6.2 ,1.758 ,0.028 ,3.1 ,1.030 ,
12.4 ,7.8 ,212 ,11.8 ,1.5 ,4.9 ,7.0 ,2.532 ,0.021 ,2.3 ,0.341 ,
20.5 ,7.8 ,183 ,11.1 ,1.6 ,5.4 ,9.2 ,0.801 ,0.021 ,3.0 ,0.726 ,
18.7 ,7.8 ,200 ,10.9 ,1.0 ,5.8 ,11.0 ,1.734 ,0.023 ,3.5 ,0.500 ,
19.6 ,8.1 ,189 ,11.1 ,1.3 ,5.5 ,10.8 ,1.544 ,0.036 ,3.1 ,0.536 ,
21.5 ,8.2 ,230 ,10.0 ,1.0 ,6.1 ,13.8 ,2.565 ,0.057 ,3.9 ,0.322 ,
22.3 ,8.5 ,194 ,10.5 ,0.6 ,5.6 ,11.4 ,1.958 ,0.049 ,3.2 ,0.650 ,
22.9 ,8.5 ,202 ,10.9 ,2.2 ,6.9 ,10.2 ,1.695 ,0.076 ,3.9 ,0.237 ,
20.8 ,8.3 ,197 ,10.7 ,2.4 ,6.3 ,8.8 ,1.832 ,0.059 ,4.0 ,0.300 ,
25.9 ,7.9 ,210 ,9.7 ,1.8 ,4.5 ,10.6 ,1.398 ,0.031 ,3.0 ,0.075 ,
25.5 ,7.6 ,198 ,7.1 ,3.1 ,9.2 ,51.2 ,2.417 ,0.164 ,7.4 ,0.595 ,
21.8 ,7.6 ,216 ,7.8 ,2.3 ,5.2 ,17.6 ,1.807 ,0.058 ,3.4 ,0.251 ,
24.0 ,7.5 ,189 ,7.8 ,1.0 ,7.6 ,17.8 ,1.976 ,0.068 ,4.7 ,1.918 ,
26.8 ,8.3 ,237 ,9.9 ,3.5 ,6.5 ,11.6 ,1.024 ,0.028 ,3.4 ,0.196 ,
27.8 ,7.9 ,326 ,8.0 ,2.7 ,6.7 ,18.2 ,0.675 ,0.042 ,4.2 ,1.184 ,
24.0 ,7.5 ,256 ,10.2 ,1.5 ,5.8 ,8.6 ,0.826 ,0.036 ,3.5 ,0.181 ,
26.0 ,7.4 ,271 ,9.9 ,1.2 ,5.4 ,7.8 ,0.754 ,0.038 ,2.8 ,0.238 ,
26.4 ,8.4 ,290 ,10.2 ,0.9 ,4.7 ,6.6 ,0.757 ,0.031 ,2.4 ,0.130 ,
21.6 ,7.8 ,295 ,9.2 ,0.9 ,3.9 ,3.2 ,0.472 ,0.014 ,1.9 ,0.063 ,
26.1 ,8.4 ,287 ,10.2 ,1.5 ,4.5 ,13.0 ,0.672 ,0.017 ,2.0 ,0.156 ,
21.8 ,8.1 ,331 ,11.0 ,1.3 ,4.1 ,4.8 ,0.916 ,0.014 ,1.9 ,0.109 ,
18.9 ,8.0 ,327 ,10.7 ,1.7 ,3.6 ,1.8 ,0.684 ,0.011 ,2.3 ,0.054 ,
19.1 ,7.8 ,324 ,10.5 ,1.0 ,3.3 ,2.8 ,0.558 ,0.009 ,1.7 ,0.042 ,
15.4 ,7.7 ,316 ,9.7 ,1.0 ,3.4 ,2.2 ,0.654 ,0.010 ,1.9 ,0.109 ,
12.8 ,7.8 ,443 ,12.1 ,1.1 ,2.8 ,5.4 ,12.184 ,0.024 ,1.3 ,0.127 ,
13.4 ,8.1 ,350 ,10.8 ,2.5 ,5.3 ,3.2 ,2.828 ,0.023 ,2.9 ,0.120 ,
13.3 ,7.8 ,351 ,10.6 ,1.2 ,4.9 ,2.8 ,1.306 ,0.017 ,3.0 ,0.358 ,
12.1 ,7.9 ,342 ,12.0 ,1.3 ,4.8 ,3.6 ,2.561 ,0.015 ,3.2 ,0.318 ,
7.4 ,7.9 ,444 ,14.5 ,0.5 ,3.4 ,1.4 ,9.489 ,0.011 ,2.0 ,0.417 ,
9.3 ,8.2 ,443 ,14.8 ,1.2 ,3.7 ,1.8 ,10.654 ,0.011 ,1.8 ,0.385 ,
5.7 ,8.1 ,501 ,15.9 ,0.8 ,2.9 ,52.0 ,14.563 ,0.035 ,1.6 ,0.357 ,
5.8 ,7.9 ,541 ,15.8 ,0.4 ,3.0 ,2.4 ,15.836 ,0.008 ,1.6 ,0.425 ,
5.7 ,8.1 ,469 ,15.4 ,0.3 ,3.0 ,2.6 ,14.139 ,0.012 ,1.6 ,0.268 ,
6.2 ,8.1 ,565 ,16.2 ,0.3 ,2.4 ,5.4 ,15.815 ,0.013 ,1.2 ,0.380 ,
3.2 ,8.3 ,377 ,15.8 ,1.1 ,4.8 ,2.4 ,5.009 ,0.017 ,2.8 ,0.588 ,
7.4 ,8.1 ,407 ,15.5 ,0.9 ,3.9 ,3.0 ,9.926 ,0.017 ,2.1 ,0.443 ,
7.6 ,8.0 ,201 ,13.3 ,1.9 ,8.6 ,9.2 ,4.413 ,0.046 ,5.6 ,1.439 ,
9.7 ,7.8 ,349 ,13.5 ,1.1 ,4.5 ,5.8 ,6.986 ,0.012 ,2.5 ,0.491 ,
16.1 ,8.6 ,361 ,13.6 ,2.4 ,4.6 ,4.2 ,6.043 ,0.012 ,2.8 ,0.292 ,
14.6 ,8.3 ,404 ,13.6 ,1.0 ,3.6 ,2.0 ,7.907 ,0.018 ,2.3 ,0.254 ,
19.1 ,8.5 ,359 ,12.5 ,1.1 ,4.6 ,6.2 ,4.593 ,0.017 ,3.1 ,0.102 ,
16.2 ,8.2 ,206 ,10.5 ,1.9 ,6.6 ,12.4 ,2.269 ,0.021 ,5.3 ,0.689 ,
18.2 ,8.4 ,213 ,11.0 ,1.9 ,5.8 ,7.8 ,1.772 ,0.021 ,4.1 ,0.921 ,
18.0 ,7.8 ,187 ,10.9 ,1.9 ,6.6 ,15.8 ,1.973 ,0.029 ,5.0 ,1.010 ,
22.4 ,7.7 ,253 ,8.8 ,1.6 ,5.1 ,10.2 ,1.547 ,0.018 ,3.8 ,0.352 ,
24.2 ,8.4 ,274 ,10.6 ,2.6 ,6.2 ,12.2 ,1.783 ,0.042 ,3.8 ,0.336 ,
24.1 ,8.0 ,276 ,10.7 ,2.0 ,5.1 ,17.8 ,1.750 ,0.040 ,3.1 ,0.270 ,
23.6 ,7.4 ,287 ,9.1 ,1.4 ,5.6 ,5.0 ,2.241 ,0.026 ,3.5 ,0.133 ,
27.3 ,7.6 ,294 ,9.9 ,1.8 ,6.0 ,6.2 ,1.669 ,0.032 ,3.7 ,0.126 ,
26.5 ,8.0 ,276 ,9.9 ,2.1 ,5.9 ,13.6 ,1.514 ,0.035 ,3.7 ,0.320 ,
27.2 ,7.9 ,316 ,10.4 ,2.0 ,5.7 ,7.8 ,1.012 ,0.038 ,3.4 ,0.091 ,
22.2 ,7.0 ,114 ,8.3 ,2.6 ,12.8 ,25.0 ,2.146 ,0.244 ,9.2 ,17.289 ,
28.6 ,7.4 ,236 ,7.3 ,1.2 ,6.4 ,8.4 ,2.750 ,0.055 ,4.7 ,0.619 ,
28.8 ,7.9 ,270 ,9.8 ,1.9 ,6.2 ,8.0 ,2.231 ,0.042 ,4.2 ,0.330 ,
31.2 ,8.0 ,225 ,8.1 ,1.1 ,5.2 ,4.4 ,1.501 ,0.044 ,3.3 ,0.190 ,
28.5 ,7.5 ,260 ,7.9 ,1.3 ,4.6 ,4.8 ,2.610 ,0.024 ,2.4 ,0.050 ,
25.9 ,7.8 ,327 ,9.2 ,0.8 ,5.1 ,6.0 ,0.987 ,0.020 ,3.2 ,0.288 ,
20.8 ,7.1 ,179 ,8.1 ,1.2 ,10.8 ,4.0 ,2.540 ,0.048 ,7.3 ,2.402 ,
23.7 ,7.7 ,274 ,9.6 ,1.3 ,6.7 ,3.6 ,1.792 ,0.041 ,3.9 ,0.441 ,
23.5 ,8.2 ,327 ,9.6 ,0.5 ,4.6 ,1.6 ,1.458 ,0.012 ,2.5 ,0.237 ,
17.8 ,7.8 ,194 ,10.3 ,0.6 ,7.2 ,1.2 ,1.692 ,0.031 ,4.4 ,0.810 ,
19.8 ,8.0 ,267 ,10.1 ,0.8 ,5.1 ,1.6 ,2.032 ,0.013 ,2.9 ,0.353 ,
15.7 ,7.8 ,300 ,9.6 ,0.8 ,4.1 ,0.4 ,1.542 ,0.011 ,2.4 ,0.245 ,
13.1 ,8.3 ,432 ,13.2 ,0.3 ,3.1 ,0.3 ,9.187 ,0.021 ,1.6 ,0.157 ,
13.0 ,8.2 ,477 ,11.7 ,0.4 ,2.5 ,1.2 ,11.856 ,0.010 ,1.4 ,0.210 ,
10.1 ,8.1 ,442 ,12.3 ,0.7 ,2.8 ,1.2 ,9.705 ,0.017 ,1.7 ,0.230 ,
8.7 ,7.9 ,498 ,13.9 ,0.5 ,2.9 ,1.4 ,12.121 ,0.010 ,1.5 ,0.300 ,
8.6 ,8.2 ,549 ,12.6 ,0.6 ,2.5 ,4.0 ,15.218 ,0.017 ,0.9 ,0.372 ,
8.0 ,8.4 ,450 ,12.2 ,0.5 ,3.2 ,2.4 ,11.851 ,0.014 ,1.7 ,0.454 ,
5.6 ,8.3 ,506 ,14.6 ,0.6 ,2.8 ,6.8 ,13.294 ,0.015 ,1.1 ,0.341 ,
5.8 ,8.4 ,458 ,14.9 ,0.9 ,3.3 ,1.4 ,8.391 ,0.011 ,1.2 ,0.182 ,
8.1 ,8.6 ,473 ,13.3 ,0.9 ,3.3 ,2.8 ,7.755 ,0.012 ,2.2 ,0.128 ,
7.7 ,8.2 ,431 ,13.5 ,1.0 ,3.8 ,6.0 ,8.168 ,0.015 ,2.7 ,0.167 ,
7.2 ,8.5 ,379 ,13.8 ,1.0 ,4.0 ,1.1 ,5.676 ,0.012 ,2.2 ,0.185 ,
14.0 ,8.8 ,370 ,13.8 ,2.4 ,6.0 ,4.6 ,6.370 ,0.014 ,2.7 ,0.090 ,
10.7 ,8.5 ,361 ,13.8 ,1.7 ,5.0 ,2.0 ,3.291 ,0.015 ,2.5 ,0.190 ,
16.9 ,8.3 ,310 ,11.2 ,1.3 ,5.2 ,1.6 ,1.367 ,0.014 ,3.0 ,0.253 ,
16.1 ,7.9 ,222 ,11.5 ,1.2 ,6.2 ,1.6 ,1.651 ,0.016 ,3.2 ,0.480 ,
16.8 ,7.9 ,212 ,11.0 ,1.3 ,5.2 ,0.3 ,2.124 ,0.024 ,3.8 ,3.333 ,
17.6 ,8.1 ,236 ,10.4 ,1.9 ,7.6 ,58.7 ,2.266 ,0.077 ,5.4 ,0.767 ,
16.1 ,8.1 ,239 ,10.6 ,1.5 ,5.6 ,17.6 ,1.737 ,0.022 ,3.7 ,0.233 ,
18.4 ,8.1 ,244 ,9.8 ,2.5 ,6.4 ,10.4 ,2.334 ,0.028 ,3.6 ,0.100 ,
21.6 ,8.5 ,230 ,10.6 ,1.4 ,6.0 ,9.7 ,2.081 ,0.038 ,3.8 ,0.345 ,
23.7 ,7.7 ,234 ,8.0 ,0.9 ,3.9 ,3.2 ,1.267 ,0.019 ,2.7 ,0.188 ,
23.2 ,8.1 ,246 ,8.1 ,1.4 ,4.9 ,3.4 ,1.476 ,0.020 ,3.4 ,0.237 ,
24.6 ,8.2 ,246 ,9.3 ,1.4 ,6.2 ,24.4 ,1.699 ,0.043 ,4.3 ,0.419 ,
23.4 ,8.0 ,228 ,9.0 ,1.3 ,5.5 ,13.4 ,1.716 ,0.030 ,3.6 ,0.761 ,
25.2 ,7.5 ,158 ,6.5 ,2.8 ,14.6 ,242.0 ,2.707 ,0.335 ,11.5 ,4.475 ,
28.5 ,7.7 ,214 ,8.1 ,1.4 ,8.5 ,12.0 ,1.982 ,0.063 ,6.4 ,1.181 ,
24.8 ,7.5 ,147 ,8.1 ,1.0 ,12.1 ,18.0 ,2.223 ,0.184 ,9.0 ,5.198 ,
23.2 ,7.6 ,106 ,8.2 ,0.8 ,11.9 ,27.2 ,1.618 ,0.084 ,9.4 ,26.232 ,
27.3 ,7.6 ,195 ,7.6 ,0.8 ,6.0 ,9.4 ,2.478 ,0.071 ,4.9 ,2.067 ,
26.9 ,8.0 ,212 ,9.6 ,0.9 ,5.6 ,5.0 ,1.885 ,0.041 ,4.4 ,0.550 ,
26.8 ,8.8 ,263 ,11.1 ,1.7 ,6.0 ,23.0 ,1.261 ,0.051 ,4.6 ,0.233 ,
24.8 ,8.0 ,298 ,9.5 ,1.1 ,5.8 ,5.0 ,1.418 ,0.026 ,3.9 ,0.846 ,
25.7 ,8.5 ,309 ,10.5 ,1.3 ,6.3 ,17.4 ,1.526 ,0.035 ,3.6 ,0.202 ,
25.1 ,8.0 ,279 ,10.5 ,1.0 ,5.5 ,8.0 ,0.872 ,0.023 ,3.1 ,0.104 ,
23.1 ,7.2 ,258 ,9.3 ,0.6 ,5.2 ,2.8 ,1.084 ,0.013 ,3.2 ,0.212 ,
18.4 ,7.5 ,217 ,11.6 ,0.8 ,6.4 ,1.8 ,1.456 ,0.021 ,3.7 ,0.385 ,
17.7 ,7.7 ,270 ,10.5 ,0.9 ,5.7 ,9.6 ,1.237 ,0.013 ,2.9 ,0.153 ,
13.5 ,7.7 ,394 ,11.5 ,0.9 ,3.7 ,2.8 ,7.472 ,0.015 ,2.3 ,0.105 ,
9.6 ,7.5 ,421 ,12.3 ,0.8 ,3.9 ,2.4 ,10.252 ,0.013 ,2.0 ,0.100 ,
8.1 ,7.7 ,468 ,13.2 ,0.9 ,3.7 ,1.6 ,11.968 ,0.012 ,2.0 ,0.111 ,
8.8 ,7.7 ,529 ,13.4 ,0.7 ,3.5 ,5.2 ,18.978 ,0.021 ,1.9 ,0.141 ,
3.8 ,7.9 ,489 ,12.2 ,0.6 ,3.3 ,7.2 ,16.300 ,0.015 ,1.9 ,0.109 ,
2.7 ,7.5 ,457 ,12.5 ,1.2 ,4.0 ,5.4 ,9.893 ,0.010 ,1.7 ,0.189 ,
4.7 ,7.8 ,511 ,13.0 ,0.9 ,3.9 ,6.2 ,12.577 ,0.016 ,1.8 ,0.110 ,
0.3 ,7.8 ,385 ,14.4 ,1.1 ,3.6 ,6.9 ,4.108 ,0.075 ,2.4 ,1.233 ,
1.0 ,7.7 ,386 ,12.6 ,0.9 ,3.4 ,4.3 ,4.250 ,0.062 ,2.4 ,0.990 ,
1.1 ,7.5 ,385 ,12.7 ,1.7 ,3.5 ,6.9 ,4.665 ,0.058 ,2.5 ,1.167 ,
2.9 ,7.5 ,296 ,13.2 ,4.1 ,5.1 ,19.7 ,4.252 ,0.102 ,3.6 ,3.290 ,
3.4 ,7.4 ,336 ,12.5 ,1.0 ,3.2 ,4.0 ,4.398 ,0.057 ,2.4 ,1.439 ,
5.1 ,7.2 ,354 ,12.3 ,1.2 ,3.3 ,10.6 ,4.359 ,0.055 ,2.3 ,1.083 ,
6.7 ,7.3 ,361 ,12.5 ,1.3 ,4.2 ,18.0 ,3.911 ,0.065 ,2.6 ,0.905 ,
9.3 ,7.3 ,363 ,12.0 ,1.6 ,4.2 ,8.0 ,3.375 ,0.057 ,2.9 ,0.832 ,
11.7 ,7.0 ,261 ,9.6 ,3.4 ,6.6 ,103.3 ,3.839 ,0.158 ,3.6 ,3.495 ,
8.3 ,7.2 ,336 ,10.8 ,3.3 ,4.6 ,15.1 ,3.931 ,0.074 ,2.7 ,1.107 ,
12.8 ,7.3 ,351 ,11.1 ,1.6 ,3.5 ,6.5 ,3.125 ,0.076 ,2.6 ,0.924 ,
12.2 ,7.2 ,305 ,10.4 ,1.3 ,4.0 ,14.0 ,3.132 ,0.085 ,2.7 ,1.584 ,
11.5 ,7.7 ,273 ,11.7 ,1.7 ,4.3 ,25.6 ,2.811 ,0.078 ,2.4 ,1.328 ,
13.8 ,7.5 ,192 ,9.5 ,5.2 ,6.4 ,56.0 ,3.387 ,0.208 ,3.6 ,5.019 ,
18.5 ,8.0 ,247 ,11.0 ,1.6 ,4.3 ,15.6 ,2.367 ,0.067 ,2.6 ,1.484 ,
22.5 ,7.7 ,304 ,8.7 ,1.4 ,4.3 ,13.8 ,2.395 ,0.092 ,2.6 ,0.860 ,
19.6 ,7.7 ,253 ,9.6 ,2.0 ,5.4 ,54.6 ,1.919 ,0.126 ,2.8 ,1.857 ,
19.9 ,7.4 ,140 ,8.1 ,5.2 ,14.7 ,406.0 ,3.764 ,0.410 ,5.6 ,21.744 ,
26.5 ,7.9 ,251 ,8.6 ,1.8 ,5.6 ,53.4 ,1.779 ,0.166 ,3.0 ,2.205 ,
21.7 ,7.7 ,208 ,8.8 ,1.7 ,5.1 ,46.2 ,1.657 ,0.105 ,2.9 ,2.519 ,
23.2 ,7.3 ,216 ,8.0 ,2.0 ,4.9 ,43.2 ,1.536 ,0.117 ,3.0 ,2.468 ,
26.4 ,7.8 ,265 ,8.3 ,1.1 ,5.2 ,47.0 ,1.368 ,0.134 ,2.9 ,1.537 ,
25.0 ,7.8 ,280 ,7.6 ,1.5 ,4.6 ,22.2 ,0.827 ,0.096 ,3.0 ,1.151 ,
