Total_Code,하천차수,수온,DO,pH,Conductivity,Turbidity,BOD,NH3-N,NO3-N,T-N,PO4-P,T-P,Chl-a,1시가화건조지역,2농업지역,3산림지역,4초지지역,5습지,6나지,7수역,비율,slope_R,aspect_gra,tavg_R,tmax_7m_R,tmin_1m_R,prcp_R,godo_R,수폭m,수심cm,유속cm/s
2014G065,5,21.1,14.7,8.4,532,0.1,1.4,0.006,0.565,0.88,0.006,0.011,0.5,8.886,41.414,42.17,0,3.338,0.503,3.689,100,1.68314,0,11.9915,28.4219,-6.96858,1206.82,80,10,20,23.4
2014G075,9,26.6,10.7,8.6,382.3,9.9,3.6,0.037,1.677,2.461,0.025,0.074,15.2,7.017,26.059,22.709,0,5.359,15.601,23.255,100,0,0,11.7854,28.5674,-6.99321,1211.91,20,365,100,0
2014G080,9,23.5,8.9,8.6,353.8,17.8,3.3,0.11,1.471,2.771,0.077,0.085,3.5,3.854,42.57,1.947,0.961,13.17,10.193,27.307,100.002,0,0,11.9698,28.6507,-6.69095,1218.56,20,212.8,100,0
2014G085,4,25.8,6.2,7.4,592.5,20.1,3.1,0.012,0.915,1.266,0.051,0.058,1.3,7.748,69.746,21.707,0,0,0,0.799,100,0,0,12.3262,28.6765,-6.31851,1216.48,20,7,75,0
2014G095,9,23.8,8.9,8.3,295.3,10.7,2.5,0.125,1.178,3.053,0.108,0.13,2.8,7.465,40.107,7.025,1.486,0.155,13.399,30.363,100,0,0,12.2833,28.6507,-6.38113,1225.43,20,267.5,100,0
2016G090,4,23.3,15.5,8.5,218.5,2.9,1.6,0.024,1.798,2.12,0.012,0.022,1.4,5.716,37.761,53.67,0,0,0,2.853,100,0,0,11.9636,28.6606,-6.35468,1245.43,20,15,25,0
2016G095,7,20.2,9,7.7,120.6,15.5,1.1,0.016,1.074,1.437,0.01,0.02,1.7,4.061,38.116,7.248,3.246,16.728,10.582,20.021,100.002,0,0,11.9891,28.6868,-6.64134,1218.47,20,84.6,35.4,5.6
2017G003,9,23.2,8.4,8,279.6,23.8,2.7,0.119,1.449,2.719,0.059,0.094,2.8,9.201,30.133,14.356,2.408,3.369,7.55,32.984,100.001,0,0,12.0465,28.7069,-6.8525,1240.92,20,207,65.2,6.5
2017G006,9,24.9,8.1,8.3,288.3,6,2.3,0.039,1.557,2.023,0.018,0.018,1.7,2.18,24.126,9.282,1.48,6.16,22.591,34.181,100,0,0,11.7237,28.728,-7.15866,1215.68,20,325,100,0
2017G030,5,22.2,11.3,7.6,305.9,21.9,2.4,0.158,1.146,2.336,0.065,0.087,5.3,6.437,38.036,16.044,3.768,5.024,8.032,22.66,100.001,0,0,12.3939,28.728,-5.82111,1214.56,20,11.2,29.7,11.2
2017G063,5,21.9,8.6,8.1,203,25.4,1.5,0.071,1.56,2.719,0.033,0.048,2,0.521,42.231,7.837,1.453,11.048,19.656,17.254,100,0,0,12.3923,28.728,-5.81853,1218.83,20,35.3,62.6,1.8
2017G066,5,21.4,9.7,7.8,337.1,4.3,1.9,0.075,1.858,3.715,0.05,0.092,3.4,2.121,53.925,36.118,0,1.695,0,6.14,99.999,0,0,12.1063,28.7746,-6.40069,1212.07,20,7.8,50,2.4
2017G075,9,22.4,9.2,8.4,261.7,23.2,2.3,0.1,1.631,2.886,0.062,0.099,2.6,3.872,35.363,21.917,1.952,7.427,7.494,21.976,100.001,0,0,12.4333,28.3995,-5.68941,1232.41,20,212.3,32.2,3.1
2017G078,3,25.1,4,7.4,326.5,22.8,2.9,0.042,0.446,0.687,0.008,0.022,3.2,8.285,62.598,11.864,0,0.004,10.575,6.674,100,0,0,12.114,28.416,-6.32016,1229.57,20,5.5,27.3,0.7
2019G116,8,24,9.1,8.4,153.6,24.7,2.2,0.063,0.898,1.679,0.043,0.08,2.1,3.753,57.112,6.002,0.922,10.597,5.413,16.201,100,0,0,12.4613,28.4008,-5.59681,1228.03,20,211.7,21.6,4.9
2020G002,9,23.7,7.9,8.4,214.4,24.1,3.1,0.075,1.22,2.368,0.04,0.076,10.4,25.711,10.285,10.052,5.387,2.677,10.575,35.313,100,0,0,12.4724,28.3625,-5.57217,1234.18,20,215,30.2,5.9
2020G010,5,25.3,8.2,8.7,348.5,15.6,3.5,0.056,3.154,5.078,0.128,0.242,2.3,9.579,73.389,0,3.563,7.139,3.151,3.18,100.001,0,0,12.1526,28.383,-5.90579,1220.67,20,27.5,32.3,7.7
2020G014,4,25.5,11.2,8.9,287.6,17.2,3.7,0.068,3.293,4.61,0.016,0.029,2.9,9.182,42.596,10.451,1.389,6.456,16.278,13.647,99.999,6.20981,7,12.4991,28.3801,-5.55417,1210.04,10.5242,7.5,34.5,0
2020G016,9,22.4,9.1,8.4,197.4,14.7,2.2,0.053,1.033,2.136,0.029,0.061,1.8,3.415,31.909,2.227,0.789,5.105,22.402,34.154,100.001,0,0,12.4994,28.3718,-5.54368,1213.84,6,378.8,24.2,5
2020G030,5,25.8,9.2,8.4,440.9,26,2.7,0.06,1.155,1.745,0.024,0.038,6.4,6.625,67.106,4.794,10.647,1.097,3.703,6.028,100,0,0,12.4881,28.3625,-5.53502,1225.29,8,32.5,23.8,0
2020G034,9,24.5,8.8,8.5,225.3,11,4,0.052,1.254,2.01,0.019,0.033,2.1,0.958,22.681,10.633,0,14.213,9.14,42.375,100,0,0,12.5204,28.3005,-5.50543,1212.62,6,337.5,34.1,3.3
2020G036,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.225,50.763,26.932,0,5.053,0,4.027,100,5.29136,3,12.2092,28.2856,-6.15764,1253.75,9.57642,6.5,25.5,0
2020G040,5,21.9,7.4,7.6,316.5,20.4,1.5,0.074,1.209,2.415,0.049,0.065,2.4,9.258,55.51,12.606,2.646,5.88,10.871,3.228,99.999,3.75407,8,12.5578,28.1371,-5.7273,1239.92,11.6112,11.3,19.7,9.4
2020G042,9,25.1,10.8,8.5,288.2,9.6,2.1,0.051,1.374,1.955,0.016,0.018,2,16.562,19.978,9.172,0.834,0.977,6.892,45.585,100,0,0,12.5199,27.8978,-5.42132,1267.39,20,450,29.2,6.2
2020G060,6,23.7,11.2,7.7,194.6,10.2,0.8,0.061,1.226,1.963,0.018,0.03,1.1,0.978,58.08,22.252,0,13.077,1.677,3.936,100,0.45801,0,12.2356,28.2281,-6.13075,1248.57,7,19.8,17.5,16.6
2020G062,3,25.2,6.4,7.2,230.6,9.8,4.2,0.025,0.246,0.305,0.025,0.043,1.2,9.599,84.678,1.375,1.804,0,0,2.544,100,0.537705,8,12.5773,28.0888,-5.38516,1248.43,11,9.5,40.1,2.3
2020G066,4,21.1,5.3,7.6,224.1,10.7,3.5,0.072,1.211,1.748,0.081,0.089,3.8,8.803,37.633,31.205,15.509,3.841,0,3.01,100.001,6.7084,7,12.5834,28.1075,-5.4148,1240.28,12.7147,20,15.9,8.2
2020G074,5,23.5,6.9,7.5,243.1,30.3,4.1,0.07,1.962,3.03,0.036,0.047,4.3,5.925,77.434,0,0,3.879,2.203,10.559,100,5.48962,7,12.5928,27.9506,-5.2968,1256.45,19.7118,18.8,37.7,12.4
2020G082,5,23.4,11.7,7.8,322.3,19.5,4,0.591,1.892,2.713,0.052,0.09,3.8,9.232,41.438,15.234,8.724,4.524,13.4,7.447,99.999,0,0,12.9309,27.9013,-4.88021,1258.36,20,13.4,25.2,3.3
2020G088,4,23.3,7.5,7.9,343.6,19.6,2.8,0.028,1.852,2.203,0.027,0.048,4.1,11.526,60.214,0,2.799,1.291,0,24.17,100,0,0,12.2141,27.956,-5.72378,1266.42,20,33.8,40.7,7.3
2020G090,9,23.1,8.3,8.4,235.5,19.1,1.8,0.069,1.653,2.199,0.033,0.063,2.7,9.676,23.044,1.327,4.693,0.995,7.081,53.184,100,0,0,12.5107,27.8978,-5.76166,1268.91,20,278.9,28.8,3.6
2021G082,7,22.1,9.2,8.3,156,2.7,1.5,0.084,1.259,2.662,0.045,0.068,2.9,9.027,47.982,6.359,4.036,8.079,0,24.517,100,0,0,12.2017,28.3875,-6.45073,1255.9,20,166.3,23.5,4.8
2022G006,4,21.9,7.2,7.3,96.5,3.7,2.7,0.011,0.976,1.354,0.012,0.017,2.6,5.429,78.66,1.955,0,9.267,1.562,3.127,100,0,0,12.4326,27.8978,-5.52074,1259.47,20,8.5,31.9,0
2022G012,5,22.1,5.9,7.4,110.5,5.8,2.3,0.064,4.045,5.877,0.016,0.021,1.6,19.71,26.089,11.163,0.338,12.002,1.918,28.781,100.001,0,0,12.4125,27.8143,-5.45361,1321.62,20,19.3,49.2,7.7
2022G018,9,22.9,9.2,8.4,237.8,16.3,2.3,0.041,1.385,2.151,0.024,0.039,2.5,22.263,10.164,17.024,4.262,4.042,0.804,41.441,100,0,0,12.1345,27.315,-5.62812,1339.02,20,310.8,34.3,3.2
2022G042,5,22.6,9.1,8.2,261.6,19.8,2,0.558,1.704,3.039,0.063,0.136,2.8,23.811,32.095,0,9.1,4.116,15.807,15.07,99.999,0,0,12.8645,27.1975,-4.55426,1359.19,20,57.7,25.1,4.8
2022G045,9,23.1,8,8.2,260.5,5,1.7,0.045,0.645,0.961,0.031,0.054,3.2,9.213,2.832,5.93,1.279,0.049,0.575,80.122,100,0,0,12.5699,27.0796,-4.86723,1373.49,20,450,14.8,8.2
2022G051,9,22.6,9.3,8.5,234.1,20.2,2.5,0.138,1.651,2.527,0.064,0.079,2.9,18.663,22.564,0.38,1.931,7.047,0,49.415,100,0,0,13.0632,26.2224,-3.63044,1356.34,20,363.6,28.8,5
2022G054,3,22.9,10.8,8.1,301.8,9.5,4.3,0.597,1.433,3.96,0.151,0.241,3.7,84.403,0,2.775,2.02,0,5.297,5.506,100.001,1.46958,8,13.3198,26.0796,-3.11641,1346.76,19.5266,9.5,14.4,10.3
2022G057,3,22.3,13.5,7.5,298.3,7.6,2.3,0.082,1.327,2.536,0.055,0.086,3.1,48.103,35.701,0,8.966,0,3.065,4.164,99.999,0,0,12.6931,26.7689,-4.30548,1340.41,20,11.8,22.9,4.4
2022G060,5,23.3,11.3,8.3,284.5,27.4,2.5,0.14,1.153,2.111,0.047,0.077,3,18.707,38.781,6.168,2.368,1.407,2.097,30.472,100,0,0,13.1161,26.2433,-3.06605,1332.39,20,192.3,29.5,4
2022G078,5,21.8,5,7.7,599.5,44.9,2.7,0.087,2.273,2.882,0.036,0.064,9.6,17.083,38.981,15.687,4.107,2.893,2.088,19.16,99.999,1.21405,3,13.2567,26.1529,-3.25647,1355.5,16.8728,57.5,26,3.5
2022G084,2,24.8,5,7.9,1011.5,55.9,10.3,0.613,2.936,4.283,0.449,0.79,22.7,15.04,69.814,0,0,3.218,0.081,11.847,100,0,0,NA,NA,NA,NA,0,65,42.9,3.3
3001G004,6,20.1,9.3,8.4,184.7,3.8,1.5,0.621,2.947,4.466,0.021,0.051,1.9,4.938,30.932,47.525,3.112,8.697,1.407,3.389,100,0,0,9.69363,26.9207,-9.92047,1295.91,400,24.4,21,46.4
3001G006,4,18.8,9.1,8.5,100.5,2,1.4,0.012,1.844,2.645,0.021,0.031,1.9,8.397,51.326,31.941,3.694,1.149,3.096,0.398,100.001,0,0,10.01,26.9772,-9.67451,1291.45,380,1,27.2,28.6
3001G010,7,21.1,8.2,8.9,201.2,2.2,1.9,0.018,2.316,3.109,0.036,0.053,3.5,4.007,31.166,46.046,9.439,1.562,1.95,5.83,100,0,0,10.5416,27.2659,-8.56701,1277,320,5,30,48.5
3001G016,6,20.5,10,8.9,203.7,2.3,1.3,0.017,1.47,2.821,0.035,0.067,2,5.8,35.945,41.93,6.692,2.016,2.605,5.012,100,0,0,9.47763,27.0263,-10.3105,1276.26,340,30,21.5,33.8
3001G020,4,21.7,7.4,7.8,245.2,2,1.3,0.065,0.245,1.158,0.04,0.104,1.2,2.755,11.26,74.849,3.363,0,6.198,1.576,100.001,14.2729,1,9.79259,27.1244,-10.0513,1255.56,341.492,12.5,27.8,52.7
3001G022,7,20.1,9.8,8.4,157.7,4.9,1.1,0.032,1.671,2.302,0.016,0.042,2.4,6.831,32.794,38.937,6.087,5.665,2.927,6.758,99.999,0,0,10.3335,27.3247,-9.45656,1256.05,280,49,22.3,48.4
3001G036,5,20.3,9.4,8.8,144.3,3.2,1.5,0.012,1.457,1.977,0.012,0.024,3.5,12.863,46.868,16.906,8.401,3.756,6.852,4.354,100,0,0,10.1967,27.1599,-9.34363,1235.46,320,15,26.4,44.3
3001G046,5,23.1,9.5,8.6,306.8,1.8,1.5,0.012,1.486,1.713,0.041,0.051,3.6,6.918,36.165,35.432,3.98,8.25,5.514,3.74,99.999,0,0,10.9076,27.4598,-8.46705,1275.47,280,15,24.4,43.2
3001G054,5,25.1,9.7,8.6,113.6,1.8,1.6,0.033,0.367,1.78,0.009,0.019,2.4,3.761,36.128,33.938,5.798,11.878,3.566,4.931,100,0,0,10.6692,27.5667,-8.35542,1280.96,260,20,25.2,53
3001G060,3,19,8.6,8.2,233.2,1.7,1.7,0.008,1.777,1.895,0.012,0.021,1.5,5.53,42.678,41.519,7.615,1.777,0.881,0,100,1.87434,0,10.0189,27.3567,-9.48906,1222.2,280,1,19.2,43.2
3001G066,7,18.3,9.6,7.8,104.9,2.7,1,0.026,1.274,1.765,0.008,0.028,1.5,4.38,27.84,17.18,11.487,18.916,4.205,15.992,100,0,0,10.2446,27.9243,-9.18187,1208.91,200,79.1,23.4,56.2
3002G020,3,20.1,9.4,7.9,113.6,1.4,0.9,0.03,1.436,2.269,0.023,0.079,1,1.032,9.367,81.261,1.914,0.382,2.981,3.062,99.999,13.681,2,10.1362,27.8085,-9.34791,1211.54,240,8.5,20.5,33.4
3002G030,4,23.5,8.1,8,262.2,2.1,1.4,0.029,2.2,2.622,0.032,0.047,2.5,5.756,24.877,41.152,6.565,12.473,2.207,6.969,99.999,0,0,10.8338,27.8324,-8.33715,1169.55,200,3,23.7,23.9
3002G050,7,21.6,9.8,8.2,109.5,2.1,1.1,0.032,1.566,2.243,0.01,0.031,1.5,9.049,27.109,28.493,11.59,14.799,1.824,7.136,100,0,0,10.0997,27.8324,-9.77564,1154.1,180,39.4,29.1,54.2
3003G090,5,22.6,10.1,8,210.5,1.9,1.1,0.015,1.385,1.954,0.01,0.04,1.7,10.001,42.435,11.286,5.143,10.197,13.716,7.223,100.001,0.144056,0,10.7917,27.8324,-8.41228,1147.92,180,55.3,22.9,48.1
3004G006,4,21.1,7.8,7.8,302.5,10.5,1.2,0.019,2.84,3.268,0.036,0.056,2.4,5.526,55.154,30.531,3.043,5.504,0,0.241,99.999,4.13702,2,10.7272,28.1623,-9.02224,1154.96,149.661,1,26.5,47.1
3004G009,7,22.6,9.3,8.1,112.6,3.1,1.1,0.041,0.961,1.594,0.008,0.038,1.4,5.393,41.155,13.676,4.997,11.906,9.734,13.138,99.999,0,0,11.1116,28.4936,-8.28925,1153.63,140,78.3,30.2,42.4
3004G039,7,21.5,9.6,8.1,217.2,3.1,1.4,0.081,1.441,1.933,0.026,0.044,2.5,7.828,46.081,27.998,0.799,10.925,2.985,3.383,99.999,0,0,11.1221,28.5352,-8.26958,1158.61,140,32.7,20.2,48.6
3004G042,3,19.4,10.9,8.5,189.8,9.5,1.2,0.011,2.168,2.266,0.013,0.032,2.1,1.843,78.172,4.888,2.805,9.945,2.348,0,100.001,0,0,10.8004,28.5258,-9.25315,1154.46,140,1,25.9,37
3004G048,4,23.5,9.5,8.6,321.5,1.7,1.4,0.018,2.044,2.587,0.015,0.031,0.5,7.182,32.848,51.32,2.41,4.441,0,1.799,100,0,0,10.6951,28.3326,-9.10299,1131.21,140,15,19.1,43.2
3004G054,5,21.3,8.9,8.4,227.5,1.7,1.6,0.013,2.025,3.667,0.011,0.029,0.9,9.384,26.949,48.344,6.565,8.479,0.223,0.057,100.001,0.143971,0,10.7022,27.9945,-9.10376,1127.47,120,4,18.4,42
3004G057,8,23,11.3,8.6,126,3.1,1.1,0.011,1.003,1.448,0.01,0.033,1.9,7.379,25.66,25.29,5.215,16.687,2.214,17.556,100.001,0,0,11.5203,28.5475,-7.58308,1198.3,100,168.1,34.8,8.1
3004G069,6,22.8,10.8,8.5,292.1,1.8,1.2,0.03,1.669,2.446,0.018,0.037,2.7,11.365,46.046,2.857,0.824,25.402,0.75,12.756,100,0,0,10.8525,28.2142,-8.91763,1170.86,100,28.2,20.8,49.7
3005G090,7,23,10.5,8.4,155.3,2.5,1.3,0.019,1.131,1.6,0.01,0.039,1.7,10.247,59.912,1.905,2.276,12.25,7.349,6.06,99.999,0,0,11.5307,28.2582,-7.57619,1180.52,100,56.3,23.3,52.9
3006G010,8,24.4,9.4,9.1,160.2,1.7,1.9,0.016,0.982,1.29,0.004,0.011,0.6,6.9,35.831,14.265,12.736,12.712,0.094,17.462,100,0,0,11.2403,28.6359,-7.86312,1183.8,100,150,27.4,44.7
3006G040,8,23,10.5,8.3,142.7,3.8,1.4,0.05,1.159,1.695,0.006,0.034,1.8,10.214,23.402,38.922,5.191,2.66,0,19.61,99.999,0,0,10.9635,28.3892,-8.82821,1155.9,100,173.2,26.5,56
3006G050,8,22.2,9.3,8.3,138.4,3,1.3,0.05,1.061,1.732,0.006,0.025,1.5,14.013,9.856,37.136,22.226,1.983,1.972,12.814,100,0,0,10.9303,28.3794,-8.1913,1141.06,100,72.8,28.5,54.7
3007G075,7,23.6,9.9,8.3,212.7,4.8,1.2,0.023,1.107,1.695,0.007,0.034,2.6,2.872,15.301,46.691,7.652,7.125,7.77,12.589,100,0,0,10.9357,28.3569,-8.86133,1145.49,100,49.8,20.2,54
3008G005,8,22.5,10.5,8.5,136.1,2.8,1.1,0.028,1.35,1.967,0.009,0.032,1.2,2.387,12.985,56.684,8.066,3.461,6.238,10.178,99.999,0,0,11.2999,28.3904,-7.83439,1147.98,100,100,25.2,37.4
3008G010,4,22.6,8.7,8.2,409.5,1.4,1.7,0.022,0.267,1.105,0.011,0.02,1.7,5.282,48.833,28.48,4.164,13.241,0,0,100,0,0,11.3785,28.4277,-8.08088,1169.64,80,20,20.7,40.2
3008G015,8,23.3,10.4,8.8,142.7,5.1,1.3,0.061,1.229,1.747,0.012,0.04,2.1,4.903,5.188,40.169,6.993,7.452,0,35.295,100,0,0,11.395,28.4526,-8.06556,1168.55,80,200,48.3,0.5
3008G050,6,22.7,11.4,8.5,268.4,7.1,2.1,0.044,1.493,2.54,0.055,0.109,4.4,1.053,25.205,54.9,4.096,6.669,1.172,6.905,100,0,0,11.4218,28.8029,-7.7201,1171.65,80,40,22.3,37.7
3008G055,4,21.7,13.3,8.3,313.5,0.8,1,0.024,0.326,0.887,0.012,0.02,1.6,1.364,6.713,86.593,1.651,3.679,0,0,100,3.12447,3,10.8227,28.4756,-8.62104,1173.19,120.288,8,26.8,44.2
3008G065,6,20.3,10.6,8.1,286.6,2.1,0.8,0.02,1.691,2.144,0.027,0.05,1.7,4.502,40.516,37.425,12.124,5.433,0,0,100,2.67276,1,10.8672,28.4337,-8.92205,1185.42,100.284,10,19,52.7
3008G075,5,22.9,8.3,7.9,166.6,7,2.6,0.041,0.727,1.261,0.016,0.037,1.5,6.763,22.386,29.639,13.188,16.939,0.628,10.455,99.998,3.55507,2,11.5341,28.5592,-7.95149,1184.88,80.4033,300,45.6,0
3008G080,4,20.8,9.5,8.1,265.6,1.6,1.2,0.05,1.212,1.742,0.017,0.046,1.4,9.025,58.074,19.636,9.505,2.869,0,0.89,99.999,0,0,11.2694,28.5426,-8.20406,1195.5,100,2,16.3,33.3
3008G085,4,21.8,9.5,8.2,294.6,2.8,1.9,0.035,1.382,1.855,0.009,0.026,0.8,5.13,60.131,25.864,4.149,4.725,0,0,99.999,0,0,11.2836,28.566,-8.18825,1192.78,100,1,20.6,17.2
3008G090,8,20,11.5,8.1,159.3,2.8,1.4,0.051,1.084,1.679,0.013,0.034,2.1,23.388,13.302,24.188,6.586,5.667,7.818,19.051,100,0,0,11.9347,28.8994,-7.22491,1178.64,40,164.1,30.1,19.5
3009G081,8,24.3,10.3,7.9,416.7,4.5,2.7,0.104,3.487,5.067,0.077,0.129,5.1,14.94,19.335,19.129,14.896,5.423,0.752,25.525,100,0,0,11.9277,28.9338,-7.2378,1185.79,40,170,22.6,50.7
3010G010,9,19.2,9.6,8.1,327.2,3.6,2.5,0.123,2.484,3.193,0.034,0.042,4.5,1.702,34.354,19.522,10.375,6.881,1.708,25.457,99.999,0,0,11.9301,28.9078,-7.23033,1184.35,40,280,29.6,39.6
3010G020,5,23.5,9,7.9,591.4,3.1,2.1,0.188,1.817,2.598,0.109,0.148,2.8,8.717,54.076,20.05,9.584,5.095,1.813,0.666,100.001,0,0,11.2557,28.9126,-8.22802,1177.61,40,19.1,18.4,39.4
3010G030,9,20.3,10.1,8.1,264.7,4.1,1.6,0.041,1.53,2.596,0.038,0.063,4,9.39,8.519,2.248,6.248,27.665,21.295,24.635,100,0,0,11.5539,28.9078,-7.58318,1194.82,20,245.8,26.2,60.9
3011G088,8,22.8,9.7,8.2,461.8,9.5,3.7,0.176,2.39,3.623,0.048,0.114,12.9,4.297,25.956,25.371,2.671,0,13.534,28.171,100,0,0,11.8433,28.8591,-7.26533,1193.87,20,293.3,32.7,27.7
3012G002,9,21.9,8.8,8.2,335.3,3.8,1.9,0.041,1.354,2.693,0.012,0.038,11.3,0,0.189,0,0,21.422,28.422,49.967,100,0,0,11.5227,28.8731,-7.91489,1194.66,20,300,44,3.8
3012G004,9,21.6,8.6,8.5,467.8,4.9,2.4,0.029,1.95,3.212,0.035,0.046,20.4,1.362,12.512,1.089,0.846,13.058,38.016,33.117,100,0,0,11.529,28.8627,-7.57183,1201.34,20,250,45.8,1.7
3012G006,5,20.8,8,8,313.5,6.5,1.7,0.029,0.849,1.304,0.014,0.024,4.2,0.808,40.103,21.468,27.635,7.668,0.202,2.116,100,0.014682,0,11.5426,28.9241,-7.90881,1197.89,40,3,25,46.9
3012G010,9,21.9,11.3,8.4,368.1,15.4,2.4,0.09,2.077,2.851,0.037,0.091,5.9,7.056,7.686,2.03,3.812,3.858,34.569,40.988,99.999,0,0,11.8718,28.855,-7.21534,1209.06,20,383.8,40.6,4.7
3012G014,6,21.9,10.6,7.9,192.9,4.5,1.3,0.078,0.867,1.639,0.029,0.055,3.5,4.607,55.382,17.355,8.367,5.936,5.856,2.498,100.001,0,0,11.8992,28.8709,-7.54116,1213.49,20,20,23.4,35.6
3012G016,5,21.5,9.4,7.7,217,3.4,1.7,0.083,1.334,1.791,0.03,0.05,3,17.302,70.271,2.41,0.389,6.476,1.05,2.103,100.001,0,0,11.7869,28.8274,-7.22281,1214.85,40,28.2,20.3,53.9
3012G020,9,21.5,8.7,7.7,359.3,5.4,2.1,0.043,1.939,2.885,0.017,0.047,1.8,12.657,17.404,13.366,24.254,0.357,3.433,28.529,100,0,0,11.5831,28.8709,-7.82174,1222.98,20,211.1,37.3,14.6
3012G022,9,22,9,8.1,389.3,7.5,2.7,0.09,1.977,2.716,0.028,0.045,21.1,3.122,8.432,38.614,16.984,1.04,0.11,31.699,100.001,0,0,11.2123,28.8013,-8.12366,1229.07,20,250.4,46.2,2
3012G024,5,20,10.3,8.4,127.5,26.3,2.7,0.035,1.528,1.707,0.116,0.134,3.2,0,12.509,77.408,5.481,0.947,0.659,2.996,100,3.27035,4,11.2279,28.7813,-8.10036,1232.28,20.1731,22.5,37.5,40
3012G046,6,21.9,9.4,7.8,238.2,7.9,2.2,0.049,1.655,2.53,0.028,0.065,8.5,34.318,12.151,2.977,25.833,0,11.135,13.586,100,0,0,11.4492,28.7366,-7.48642,1225.04,20,21.6,34.2,8
3012G048,9,22.1,11,8.7,311.1,8.5,2.3,0.09,1.943,2.764,0.044,0.083,10.5,23.169,1.161,9.632,22.011,2.529,17.864,23.634,100,0,0,11.7926,28.7359,-7.14661,1222.76,20,273,43.2,4.2
3012G052,4,18.7,9.5,7.9,226.5,2.9,1.3,0.07,1.33,1.688,0.034,0.051,14.8,3.163,9.76,64.106,5.134,0.825,1.629,15.384,100.001,0,0,11.4275,28.7146,-8.14762,1214.03,20,8,20,46.1
3012G054,9,22,9.5,8.6,294,6.2,2.3,0.094,1.566,2.656,0.051,0.04,14.8,11.596,14.243,22.601,23.738,1.307,0,26.515,100,0,0,11.127,28.7359,-8.10916,1217.34,20,259.3,45.8,9
3012G072,6,21.8,9.8,8,219.5,6.9,1.6,0.041,1.108,1.286,0.012,0.022,2.7,8.386,33.992,32.861,6.699,13.323,0,4.738,99.999,0,0,11.7709,28.7146,-7.45926,1224.14,20,29,50,57
3012G084,5,19.2,7.5,7.9,196.6,11,2.1,0.061,1.135,1.58,0.052,0.178,2.7,2.709,18.935,39.063,0,29.98,3.599,5.713,99.999,0.116581,0,11.8513,28.6237,-6.94148,1217.63,20,3,20.9,35.7
3012G086,9,22,9.6,9,320.4,7.2,2.5,0.081,1.119,2.142,0.018,0.026,16.3,1.474,27.876,21.968,4.451,7.607,6.347,30.277,100,0,0,11.5367,28.6237,-7.23812,1217.45,20,300,42.4,7.5
3012G094,5,20.2,8.2,8,255.1,2.3,1.8,0.02,1.251,1.545,0.014,0.044,4.5,9.171,22.04,41.72,20.61,4.049,2.41,0,100,0,0,11.3172,28.7009,-7.71054,1234.87,20,1,26.1,47.5
3012G096,9,22.3,10.1,8.4,288.3,10.6,2.2,0.095,1.691,2.426,0.034,0.072,14.1,2.978,15.973,21.994,12.126,4.841,10.513,31.576,100.001,0,0,11.616,28.7009,-7.04896,1228.96,20,400,38.7,6
3012G142,3,21.7,10.3,8.5,188.1,1.4,1.7,0.023,1.249,1.563,0.02,0.049,4.3,4.472,48.264,10.375,11.456,7.647,2.822,14.964,100,0,0,11.9403,28.671,-6.7487,1228.4,20,3,28.6,37.9
3012G146,6,22.8,8.2,8.2,222.2,7.5,2.6,0.044,1.645,2.007,0.019,0.063,2.6,0.346,63.355,16.806,12.489,1.152,1.016,4.837,100.001,0,0,11.5684,28.0833,-6.95741,1224.21,20,35,28.9,7
3012G148,9,22.4,9.8,8.5,284.5,9.8,2.7,0.098,1.763,2.73,0.033,0.076,6.9,4.541,43.585,3.933,4.126,3.863,11.776,28.177,100.001,0,0,11.9453,28.1565,-6.58237,1228.6,20,327.8,41.4,2.9
3012G152,4,20.3,6.6,7.8,242.5,1.3,1.9,0.036,0.927,1.626,0.009,0.026,4.5,4.053,26.268,24.036,2.853,8.014,13.271,21.505,100,0,0,11.6073,28.2881,-6.61576,1226.78,20,4.5,28.4,30.8
3012G156,9,21.8,8.7,8.2,270.6,49.5,2.8,0.095,1.679,2.54,0.033,0.086,4.9,17.74,14.714,0.069,23.772,5.172,4.13,34.402,99.999,0,0,11.9765,28.3888,-6.54337,1229.71,20,280,17.9,11.7
3012G162,5,21.5,8.9,7.9,183.3,4.4,2.1,0.14,1.472,2.051,0.039,0.071,4.7,2.639,61.859,13.854,11.946,5.364,1.76,2.579,100.001,0,0,11.9025,28.2591,-6.61375,1221.79,20,10,23.9,31.4
3012G168,4,21.8,8.4,7.9,355.2,5.5,3.5,0.089,0.775,1.355,0.048,0.141,26.3,28.569,42.135,11.545,8.491,5.864,3.226,0.17,100,0,0,11.3642,28.4675,-7.51248,1240.07,20,7,35.1,0
3012G180,6,21.5,8.9,8.2,235.3,27.1,3.5,0.1,1.276,2.228,0.045,0.095,7.7,8.17,50.172,3.44,12.052,13.953,7.657,4.558,100.002,0,0,12.0393,27.9742,-6.48384,1230.22,20,25.6,21.5,37.7
3012G182,3,23.3,8.9,8,331.4,5.4,3.7,0.032,1.673,2.908,0.01,0.073,3.8,1.092,55.192,32.663,6.207,4.292,0.554,0,100,1.06124,8,11.8567,28.7118,-6.73392,1233.48,20,1,21,4.7
